GeneID	nReads	ftype
ENSMUSG00000000001.5	41	exon
ENSMUSG00000000028.16	2	exon
ENSMUSG00000000037.18	1	exon
ENSMUSG00000000049.12	2	exon
ENSMUSG00000000056.8	67	exon
ENSMUSG00000000058.7	8	exon
ENSMUSG00000000078.8	43	exon
ENSMUSG00000000085.17	115	exon
ENSMUSG00000000088.8	316	exon
ENSMUSG00000000094.13	1	exon
ENSMUSG00000000120.7	3	exon
ENSMUSG00000000125.6	3	exon
ENSMUSG00000000127.16	41	exon
ENSMUSG00000000131.16	61	exon
ENSMUSG00000000134.18	64	exon
ENSMUSG00000000142.16	35	exon
ENSMUSG00000000148.18	25	exon
ENSMUSG00000000149.11	186	exon
ENSMUSG00000000154.17	2	exon
ENSMUSG00000000167.15	1	exon
ENSMUSG00000000168.11	146	exon
ENSMUSG00000000171.6	60	exon
ENSMUSG00000000184.13	397	exon
ENSMUSG00000000194.14	31	exon
ENSMUSG00000000197.9	101	exon
ENSMUSG00000000202.10	33	exon
ENSMUSG00000000214.12	3	exon
ENSMUSG00000000223.14	76	exon
ENSMUSG00000000247.12	47	exon
ENSMUSG00000000253.14	118	exon
ENSMUSG00000000266.12	33	exon
ENSMUSG00000000275.17	8	exon
ENSMUSG00000000276.12	66	exon
ENSMUSG00000000278.11	8	exon
ENSMUSG00000000282.13	28	exon
ENSMUSG00000000290.14	6	exon
ENSMUSG00000000295.14	27	exon
ENSMUSG00000000296.9	129	exon
ENSMUSG00000000301.17	1	exon
ENSMUSG00000000305.13	59	exon
ENSMUSG00000000308.15	248	exon
ENSMUSG00000000320.11	1	exon
ENSMUSG00000000326.14	171	exon
ENSMUSG00000000339.15	99	exon
ENSMUSG00000000340.11	56	exon
ENSMUSG00000000346.10	143	exon
ENSMUSG00000000355.14	66	exon
ENSMUSG00000000374.9	98	exon
ENSMUSG00000000378.16	180	exon
ENSMUSG00000000384.16	34	exon
ENSMUSG00000000399.11	207	exon
ENSMUSG00000000402.3	2	exon
ENSMUSG00000000409.15	4	exon
ENSMUSG00000000416.17	496	exon
ENSMUSG00000000420.16	24	exon
ENSMUSG00000000439.10	47	exon
ENSMUSG00000000440.13	1	exon
ENSMUSG00000000441.18	91	exon
ENSMUSG00000000486.14	9	exon
ENSMUSG00000000489.8	26	exon
ENSMUSG00000000530.17	63	exon
ENSMUSG00000000531.6	183	exon
ENSMUSG00000000532.12	111	exon
ENSMUSG00000000538.19	143	exon
ENSMUSG00000000552.11	29	exon
ENSMUSG00000000555.9	41	exon
ENSMUSG00000000560.10	164	exon
ENSMUSG00000000561.15	41	exon
ENSMUSG00000000562.6	3	exon
ENSMUSG00000000563.18	539	exon
ENSMUSG00000000567.6	150	exon
ENSMUSG00000000568.16	361	exon
ENSMUSG00000000579.15	1	exon
ENSMUSG00000000581.9	155	exon
ENSMUSG00000000594.8	94	exon
ENSMUSG00000000600.16	116	exon
ENSMUSG00000000605.10	357	exon
ENSMUSG00000000627.16	15	exon
ENSMUSG00000000628.11	1	exon
ENSMUSG00000000631.21	126	exon
ENSMUSG00000000632.14	588	exon
ENSMUSG00000000682.8	4	exon
ENSMUSG00000000693.11	6	exon
ENSMUSG00000000708.15	62	exon
ENSMUSG00000000711.4	114	exon
ENSMUSG00000000732.10	4	exon
ENSMUSG00000000738.19	69	exon
ENSMUSG00000000740.13	590	exon
ENSMUSG00000000743.10	70	exon
ENSMUSG00000000751.14	81	exon
ENSMUSG00000000753.16	12	exon
ENSMUSG00000000759.15	55	exon
ENSMUSG00000000766.19	1	exon
ENSMUSG00000000776.14	26	exon
ENSMUSG00000000782.17	30	exon
ENSMUSG00000000787.13	241	exon
ENSMUSG00000000792.3	4	exon
ENSMUSG00000000794.10	61	exon
ENSMUSG00000000804.15	93	exon
ENSMUSG00000000805.19	8	exon
ENSMUSG00000000811.15	3	exon
ENSMUSG00000000817.11	1	exon
ENSMUSG00000000823.17	82	exon
ENSMUSG00000000826.17	400	exon
ENSMUSG00000000827.19	71	exon
ENSMUSG00000000838.18	56	exon
ENSMUSG00000000861.16	106	exon
ENSMUSG00000000876.12	33	exon
ENSMUSG00000000881.13	178	exon
ENSMUSG00000000884.18	7	exon
ENSMUSG00000000901.18	4	exon
ENSMUSG00000000902.14	185	exon
ENSMUSG00000000915.16	90	exon
ENSMUSG00000000916.16	16	exon
ENSMUSG00000000934.10	11	exon
ENSMUSG00000000948.17	8	exon
ENSMUSG00000000957.12	6	exon
ENSMUSG00000000959.8	62	exon
ENSMUSG00000000976.14	33	exon
ENSMUSG00000001016.13	193	exon
ENSMUSG00000001017.17	209	exon
ENSMUSG00000001018.16	45	exon
ENSMUSG00000001020.9	7	exon
ENSMUSG00000001021.14	1	exon
ENSMUSG00000001025.9	33	exon
ENSMUSG00000001029.16	4	exon
ENSMUSG00000001034.18	19	exon
ENSMUSG00000001036.18	180	exon
ENSMUSG00000001039.13	27	exon
ENSMUSG00000001052.16	81	exon
ENSMUSG00000001053.16	31	exon
ENSMUSG00000001054.10	66	exon
ENSMUSG00000001056.4	124	exon
ENSMUSG00000001062.19	52	exon
ENSMUSG00000001065.16	40	exon
ENSMUSG00000001082.13	40	exon
ENSMUSG00000001089.15	113	exon
ENSMUSG00000001098.16	55	exon
ENSMUSG00000001100.11	94	exon
ENSMUSG00000001103.8	1	exon
ENSMUSG00000001105.16	175	exon
ENSMUSG00000001119.8	45	exon
ENSMUSG00000001120.16	30	exon
ENSMUSG00000001123.16	7	exon
ENSMUSG00000001127.13	236	exon
ENSMUSG00000001128.8	22	exon
ENSMUSG00000001131.12	3	exon
ENSMUSG00000001134.10	6	exon
ENSMUSG00000001138.14	30	exon
