GeneID	nReads	ftype
ENSMUSG00000000001.5	28	exon
ENSMUSG00000000056.8	73	exon
ENSMUSG00000000058.7	5	exon
ENSMUSG00000000078.8	50	exon
ENSMUSG00000000085.17	76	exon
ENSMUSG00000000088.8	314	exon
ENSMUSG00000000120.7	2	exon
ENSMUSG00000000125.6	6	exon
ENSMUSG00000000126.12	2	exon
ENSMUSG00000000127.16	11	exon
ENSMUSG00000000131.16	44	exon
ENSMUSG00000000134.18	41	exon
ENSMUSG00000000142.16	24	exon
ENSMUSG00000000148.18	13	exon
ENSMUSG00000000149.11	167	exon
ENSMUSG00000000154.17	1	exon
ENSMUSG00000000167.15	4	exon
ENSMUSG00000000168.11	85	exon
ENSMUSG00000000171.6	25	exon
ENSMUSG00000000184.13	366	exon
ENSMUSG00000000194.14	35	exon
ENSMUSG00000000197.9	101	exon
ENSMUSG00000000202.10	13	exon
ENSMUSG00000000214.12	11	exon
ENSMUSG00000000223.14	66	exon
ENSMUSG00000000244.18	3	exon
ENSMUSG00000000247.12	41	exon
ENSMUSG00000000253.14	142	exon
ENSMUSG00000000266.12	42	exon
ENSMUSG00000000275.17	2	exon
ENSMUSG00000000276.12	53	exon
ENSMUSG00000000278.11	16	exon
ENSMUSG00000000282.13	24	exon
ENSMUSG00000000290.14	7	exon
ENSMUSG00000000295.14	27	exon
ENSMUSG00000000296.9	105	exon
ENSMUSG00000000301.17	1	exon
ENSMUSG00000000305.13	80	exon
ENSMUSG00000000308.15	182	exon
ENSMUSG00000000317.12	2	exon
ENSMUSG00000000326.14	140	exon
ENSMUSG00000000339.15	73	exon
ENSMUSG00000000340.11	20	exon
ENSMUSG00000000346.10	116	exon
ENSMUSG00000000355.14	52	exon
ENSMUSG00000000365.10	8	exon
ENSMUSG00000000374.9	59	exon
ENSMUSG00000000378.16	204	exon
ENSMUSG00000000384.16	24	exon
ENSMUSG00000000399.11	165	exon
ENSMUSG00000000402.3	2	exon
ENSMUSG00000000409.15	1	exon
ENSMUSG00000000416.17	436	exon
ENSMUSG00000000420.16	52	exon
ENSMUSG00000000439.10	58	exon
ENSMUSG00000000440.13	1	exon
ENSMUSG00000000441.18	85	exon
ENSMUSG00000000486.14	2	exon
ENSMUSG00000000489.8	13	exon
ENSMUSG00000000530.17	45	exon
ENSMUSG00000000531.6	144	exon
ENSMUSG00000000532.12	81	exon
ENSMUSG00000000538.19	172	exon
ENSMUSG00000000552.11	51	exon
ENSMUSG00000000555.9	44	exon
ENSMUSG00000000560.10	132	exon
ENSMUSG00000000561.15	27	exon
ENSMUSG00000000563.18	488	exon
ENSMUSG00000000567.6	107	exon
ENSMUSG00000000568.16	263	exon
ENSMUSG00000000579.15	3	exon
ENSMUSG00000000581.9	95	exon
ENSMUSG00000000594.8	67	exon
ENSMUSG00000000600.16	86	exon
ENSMUSG00000000605.10	366	exon
ENSMUSG00000000627.16	23	exon
ENSMUSG00000000628.11	4	exon
ENSMUSG00000000631.21	143	exon
ENSMUSG00000000632.14	530	exon
ENSMUSG00000000682.8	3	exon
ENSMUSG00000000693.11	2	exon
ENSMUSG00000000708.15	36	exon
ENSMUSG00000000711.4	79	exon
ENSMUSG00000000732.10	1	exon
ENSMUSG00000000738.19	50	exon
ENSMUSG00000000740.13	550	exon
ENSMUSG00000000743.10	53	exon
ENSMUSG00000000751.14	55	exon
ENSMUSG00000000753.16	2	exon
ENSMUSG00000000759.15	28	exon
ENSMUSG00000000766.19	4	exon
ENSMUSG00000000776.14	44	exon
ENSMUSG00000000782.17	39	exon
ENSMUSG00000000787.13	132	exon
ENSMUSG00000000792.3	6	exon
ENSMUSG00000000794.10	39	exon
ENSMUSG00000000804.15	105	exon
ENSMUSG00000000805.19	2	exon
ENSMUSG00000000823.17	59	exon
ENSMUSG00000000826.17	362	exon
ENSMUSG00000000827.19	88	exon
ENSMUSG00000000838.18	61	exon
ENSMUSG00000000861.16	128	exon
ENSMUSG00000000876.12	11	exon
ENSMUSG00000000881.13	164	exon
ENSMUSG00000000901.18	1	exon
ENSMUSG00000000902.14	173	exon
ENSMUSG00000000915.16	84	exon
ENSMUSG00000000916.16	6	exon
ENSMUSG00000000934.10	9	exon
ENSMUSG00000000948.17	7	exon
ENSMUSG00000000957.12	11	exon
ENSMUSG00000000959.8	45	exon
ENSMUSG00000000976.14	35	exon
ENSMUSG00000000982.6	3	exon
ENSMUSG00000000983.14	1	exon
ENSMUSG00000001014.7	2	exon
ENSMUSG00000001016.13	150	exon
ENSMUSG00000001017.17	210	exon
