GeneID	nReads	ftype
ENSMUSG00000000001.5	46	exon
ENSMUSG00000000028.16	8	exon
ENSMUSG00000000056.8	91	exon
ENSMUSG00000000058.7	3	exon
ENSMUSG00000000078.8	40	exon
ENSMUSG00000000085.17	205	exon
ENSMUSG00000000088.8	260	exon
ENSMUSG00000000120.7	6	exon
ENSMUSG00000000125.6	6	exon
ENSMUSG00000000127.16	34	exon
ENSMUSG00000000131.16	163	exon
ENSMUSG00000000134.18	87	exon
ENSMUSG00000000142.16	33	exon
ENSMUSG00000000148.18	27	exon
ENSMUSG00000000149.11	271	exon
ENSMUSG00000000154.17	1	exon
ENSMUSG00000000168.11	98	exon
ENSMUSG00000000171.6	131	exon
ENSMUSG00000000184.13	670	exon
ENSMUSG00000000194.14	59	exon
ENSMUSG00000000197.9	120	exon
ENSMUSG00000000202.10	69	exon
ENSMUSG00000000214.12	27	exon
ENSMUSG00000000223.14	112	exon
ENSMUSG00000000247.12	55	exon
ENSMUSG00000000253.14	244	exon
ENSMUSG00000000266.12	27	exon
ENSMUSG00000000275.17	3	exon
ENSMUSG00000000276.12	65	exon
ENSMUSG00000000278.11	18	exon
ENSMUSG00000000282.13	83	exon
ENSMUSG00000000290.14	7	exon
ENSMUSG00000000295.14	32	exon
ENSMUSG00000000296.9	137	exon
ENSMUSG00000000301.17	1	exon
ENSMUSG00000000305.13	141	exon
ENSMUSG00000000308.15	316	exon
ENSMUSG00000000320.11	1	exon
ENSMUSG00000000326.14	224	exon
ENSMUSG00000000339.15	169	exon
ENSMUSG00000000340.11	71	exon
ENSMUSG00000000346.10	181	exon
ENSMUSG00000000355.14	20	exon
ENSMUSG00000000359.4	4	exon
ENSMUSG00000000374.9	111	exon
ENSMUSG00000000378.16	397	exon
ENSMUSG00000000384.16	58	exon
ENSMUSG00000000399.11	254	exon
ENSMUSG00000000402.3	2	exon
ENSMUSG00000000409.15	3	exon
ENSMUSG00000000416.17	769	exon
ENSMUSG00000000420.16	43	exon
ENSMUSG00000000439.10	64	exon
ENSMUSG00000000441.18	138	exon
ENSMUSG00000000486.14	5	exon
ENSMUSG00000000489.8	38	exon
ENSMUSG00000000530.17	100	exon
ENSMUSG00000000531.6	511	exon
ENSMUSG00000000532.12	215	exon
ENSMUSG00000000538.19	254	exon
ENSMUSG00000000552.11	145	exon
ENSMUSG00000000555.9	133	exon
ENSMUSG00000000560.10	226	exon
ENSMUSG00000000561.15	36	exon
ENSMUSG00000000563.18	394	exon
ENSMUSG00000000567.6	156	exon
ENSMUSG00000000568.16	347	exon
ENSMUSG00000000579.15	4	exon
ENSMUSG00000000581.9	101	exon
ENSMUSG00000000594.8	91	exon
ENSMUSG00000000600.16	142	exon
ENSMUSG00000000605.10	652	exon
ENSMUSG00000000627.16	48	exon
ENSMUSG00000000628.11	4	exon
ENSMUSG00000000631.21	254	exon
ENSMUSG00000000632.14	1024	exon
ENSMUSG00000000693.11	2	exon
ENSMUSG00000000708.15	42	exon
ENSMUSG00000000711.4	198	exon
ENSMUSG00000000732.10	4	exon
ENSMUSG00000000738.19	97	exon
ENSMUSG00000000740.13	670	exon
ENSMUSG00000000743.10	101	exon
ENSMUSG00000000751.14	104	exon
ENSMUSG00000000753.16	2	exon
ENSMUSG00000000759.15	45	exon
ENSMUSG00000000766.19	5	exon
ENSMUSG00000000776.14	59	exon
ENSMUSG00000000782.17	39	exon
ENSMUSG00000000787.13	158	exon
ENSMUSG00000000791.10	3	exon
ENSMUSG00000000792.3	7	exon
ENSMUSG00000000794.10	57	exon
ENSMUSG00000000804.15	115	exon
ENSMUSG00000000805.19	5	exon
ENSMUSG00000000811.15	11	exon
ENSMUSG00000000823.17	115	exon
ENSMUSG00000000826.17	459	exon
ENSMUSG00000000827.19	104	exon
ENSMUSG00000000838.18	53	exon
ENSMUSG00000000861.16	181	exon
ENSMUSG00000000876.12	43	exon
ENSMUSG00000000881.13	338	exon
ENSMUSG00000000884.18	2	exon
ENSMUSG00000000901.18	5	exon
ENSMUSG00000000902.14	244	exon
ENSMUSG00000000915.16	107	exon
ENSMUSG00000000916.16	24	exon
ENSMUSG00000000934.10	31	exon
ENSMUSG00000000948.17	14	exon
ENSMUSG00000000957.12	44	exon
ENSMUSG00000000959.8	110	exon
ENSMUSG00000000976.14	71	exon
ENSMUSG00000000983.14	7	exon
ENSMUSG00000001016.13	283	exon
ENSMUSG00000001017.17	270	exon
ENSMUSG00000001018.16	75	exon
ENSMUSG00000001021.14	5	exon
ENSMUSG00000001025.9	40	exon
ENSMUSG00000001027.8	2	exon
ENSMUSG00000001034.18	9	exon
ENSMUSG00000001036.18	196	exon
ENSMUSG00000001039.13	41	exon
ENSMUSG00000001052.16	77	exon
ENSMUSG00000001053.16	54	exon
ENSMUSG00000001054.10	173	exon
ENSMUSG00000001056.4	131	exon
ENSMUSG00000001062.19	69	exon
ENSMUSG00000001065.16	68	exon
ENSMUSG00000001082.13	72	exon
ENSMUSG00000001089.15	132	exon
ENSMUSG00000001098.16	41	exon
ENSMUSG00000001100.11	108	exon
ENSMUSG00000001103.8	1	exon
ENSMUSG00000001105.16	148	exon
ENSMUSG00000001119.8	178	exon
ENSMUSG00000001120.16	75	exon
ENSMUSG00000001123.16	2	exon
ENSMUSG00000001127.13	298	exon
ENSMUSG00000001128.8	41	exon
ENSMUSG00000001134.10	6	exon
ENSMUSG00000001138.14	16	exon
ENSMUSG00000001143.14	113	exon
ENSMUSG00000001150.8	106	exon
ENSMUSG00000001151.11	113	exon
ENSMUSG00000001155.14	4	exon
ENSMUSG00000001156.10	54	exon
ENSMUSG00000001157.14	55	exon
ENSMUSG00000001158.14	188	exon
ENSMUSG00000001166.18	1	exon
ENSMUSG00000001173.16	151	exon
ENSMUSG00000001175.17	8774	exon
ENSMUSG00000001211.16	353	exon
ENSMUSG00000001227.13	185	exon
ENSMUSG00000001228.15	6	exon
ENSMUSG00000001229.10	115	exon
ENSMUSG00000001240.14	4	exon
ENSMUSG00000001248.16	179	exon
ENSMUSG00000001249.15	6	exon
ENSMUSG00000001260.11	21	exon
ENSMUSG00000001270.10	3890	exon
ENSMUSG00000001280.14	56	exon
ENSMUSG00000001281.11	3	exon
ENSMUSG00000001285.13	73	exon
ENSMUSG00000001288.16	45	exon
ENSMUSG00000001289.13	295	exon
ENSMUSG00000001300.17	80	exon
ENSMUSG00000001305.6	54	exon
ENSMUSG00000001313.13	601	exon
ENSMUSG00000001323.18	113	exon
ENSMUSG00000001334.11	311	exon
ENSMUSG00000001349.6	1	exon
ENSMUSG00000001366.15	91	exon
ENSMUSG00000001376.18	76	exon
ENSMUSG00000001380.8	199	exon
ENSMUSG00000001383.10	351	exon
ENSMUSG00000001415.11	358	exon
ENSMUSG00000001416.14	342	exon
ENSMUSG00000001418.14	78	exon
ENSMUSG00000001419.18	464	exon
ENSMUSG00000001424.15	110	exon
ENSMUSG00000001435.16	4	exon
ENSMUSG00000001436.16	29	exon
ENSMUSG00000001440.6	190	exon
ENSMUSG00000001441.14	560	exon
ENSMUSG00000001444.3	5	exon
ENSMUSG00000001445.11	97	exon
ENSMUSG00000001467.6	63	exon
ENSMUSG00000001472.18	780	exon
ENSMUSG00000001482.16	33	exon
ENSMUSG00000001493.10	1	exon
ENSMUSG00000001496.16	19	exon
ENSMUSG00000001506.11	16	exon
ENSMUSG00000001507.17	8	exon
ENSMUSG00000001517.15	7	exon
ENSMUSG00000001518.13	49	exon
ENSMUSG00000001520.13	8	exon
ENSMUSG00000001521.13	62	exon
ENSMUSG00000001524.15	55	exon
ENSMUSG00000001525.11	703	exon
ENSMUSG00000001542.8	35	exon
ENSMUSG00000001552.15	208	exon
ENSMUSG00000001555.11	19	exon
ENSMUSG00000001558.6	1	exon
ENSMUSG00000001569.11	98	exon
ENSMUSG00000001576.16	178	exon
ENSMUSG00000001627.13	66	exon
