GeneID	nReads	ftype
ENSMUSG00000000001.5	110	exon
ENSMUSG00000000028.16	1	exon
ENSMUSG00000000037.18	5	exon
ENSMUSG00000000056.8	156	exon
ENSMUSG00000000058.7	23	exon
ENSMUSG00000000078.8	78	exon
ENSMUSG00000000085.17	166	exon
ENSMUSG00000000088.8	666	exon
ENSMUSG00000000093.7	4	exon
ENSMUSG00000000120.7	3	exon
ENSMUSG00000000125.6	1	exon
ENSMUSG00000000126.12	7	exon
ENSMUSG00000000127.16	60	exon
ENSMUSG00000000131.16	133	exon
ENSMUSG00000000134.18	146	exon
ENSMUSG00000000142.16	52	exon
ENSMUSG00000000148.18	29	exon
ENSMUSG00000000149.11	299	exon
ENSMUSG00000000154.17	3	exon
ENSMUSG00000000159.17	1	exon
ENSMUSG00000000167.15	5	exon
ENSMUSG00000000168.11	213	exon
ENSMUSG00000000171.6	119	exon
ENSMUSG00000000184.13	627	exon
ENSMUSG00000000194.14	80	exon
ENSMUSG00000000197.9	301	exon
ENSMUSG00000000202.10	36	exon
ENSMUSG00000000214.12	23	exon
ENSMUSG00000000216.9	1	exon
ENSMUSG00000000223.14	141	exon
ENSMUSG00000000244.18	1	exon
ENSMUSG00000000247.12	93	exon
ENSMUSG00000000248.17	1	exon
ENSMUSG00000000253.14	200	exon
ENSMUSG00000000263.16	2	exon
ENSMUSG00000000266.12	59	exon
ENSMUSG00000000275.17	13	exon
ENSMUSG00000000276.12	138	exon
ENSMUSG00000000278.11	36	exon
ENSMUSG00000000282.13	94	exon
ENSMUSG00000000290.14	12	exon
ENSMUSG00000000295.14	59	exon
ENSMUSG00000000296.9	232	exon
ENSMUSG00000000301.17	5	exon
ENSMUSG00000000305.13	121	exon
ENSMUSG00000000308.15	477	exon
ENSMUSG00000000317.12	4	exon
ENSMUSG00000000318.17	1	exon
ENSMUSG00000000326.14	273	exon
ENSMUSG00000000339.15	147	exon
ENSMUSG00000000340.11	76	exon
ENSMUSG00000000346.10	240	exon
ENSMUSG00000000355.14	126	exon
ENSMUSG00000000374.9	253	exon
ENSMUSG00000000378.16	423	exon
ENSMUSG00000000384.16	73	exon
ENSMUSG00000000399.11	381	exon
ENSMUSG00000000402.3	5	exon
ENSMUSG00000000409.15	3	exon
ENSMUSG00000000416.17	1044	exon
ENSMUSG00000000420.16	69	exon
ENSMUSG00000000439.10	95	exon
ENSMUSG00000000441.18	199	exon
ENSMUSG00000000486.14	15	exon
ENSMUSG00000000489.8	53	exon
ENSMUSG00000000530.17	99	exon
ENSMUSG00000000531.6	366	exon
ENSMUSG00000000532.12	173	exon
ENSMUSG00000000538.19	342	exon
ENSMUSG00000000552.11	70	exon
ENSMUSG00000000555.9	57	exon
ENSMUSG00000000560.10	505	exon
ENSMUSG00000000561.15	104	exon
ENSMUSG00000000562.6	3	exon
ENSMUSG00000000563.18	774	exon
ENSMUSG00000000567.6	207	exon
ENSMUSG00000000568.16	722	exon
ENSMUSG00000000579.15	5	exon
ENSMUSG00000000581.9	236	exon
ENSMUSG00000000594.8	182	exon
ENSMUSG00000000600.16	244	exon
ENSMUSG00000000605.10	876	exon
ENSMUSG00000000627.16	44	exon
ENSMUSG00000000628.11	11	exon
ENSMUSG00000000631.21	287	exon
ENSMUSG00000000632.14	960	exon
ENSMUSG00000000673.10	1	exon
ENSMUSG00000000682.8	9	exon
ENSMUSG00000000686.12	1	exon
ENSMUSG00000000693.11	9	exon
ENSMUSG00000000708.15	65	exon
ENSMUSG00000000711.4	191	exon
ENSMUSG00000000732.10	9	exon
ENSMUSG00000000738.19	76	exon
ENSMUSG00000000740.13	1262	exon
ENSMUSG00000000743.10	164	exon
ENSMUSG00000000751.14	114	exon
ENSMUSG00000000753.16	13	exon
ENSMUSG00000000759.15	94	exon
ENSMUSG00000000766.19	2	exon
ENSMUSG00000000776.14	81	exon
ENSMUSG00000000782.17	48	exon
ENSMUSG00000000787.13	438	exon
ENSMUSG00000000792.3	7	exon
ENSMUSG00000000794.10	151	exon
ENSMUSG00000000804.15	220	exon
ENSMUSG00000000805.19	12	exon
ENSMUSG00000000811.15	12	exon
ENSMUSG00000000817.11	1	exon
ENSMUSG00000000823.17	148	exon
ENSMUSG00000000826.17	630	exon
ENSMUSG00000000827.19	171	exon
ENSMUSG00000000838.18	158	exon
ENSMUSG00000000861.16	265	exon
ENSMUSG00000000876.12	36	exon
ENSMUSG00000000881.13	428	exon
ENSMUSG00000000884.18	12	exon
ENSMUSG00000000901.18	2	exon
ENSMUSG00000000902.14	314	exon
ENSMUSG00000000903.4	1	exon
ENSMUSG00000000915.16	163	exon
ENSMUSG00000000916.16	22	exon
ENSMUSG00000000934.10	17	exon
ENSMUSG00000000948.17	22	exon
ENSMUSG00000000957.12	40	exon
ENSMUSG00000000958.11	3	exon
ENSMUSG00000000959.8	87	exon
ENSMUSG00000000976.14	39	exon
ENSMUSG00000000982.6	3	exon
ENSMUSG00000000983.14	3	exon
ENSMUSG00000001014.7	3	exon
ENSMUSG00000001016.13	425	exon
ENSMUSG00000001017.17	499	exon
ENSMUSG00000001018.16	85	exon
ENSMUSG00000001020.9	6	exon
ENSMUSG00000001021.14	1	exon
ENSMUSG00000001025.9	60	exon
ENSMUSG00000001029.16	4	exon
ENSMUSG00000001034.18	28	exon
ENSMUSG00000001036.18	346	exon
ENSMUSG00000001039.13	42	exon
ENSMUSG00000001052.16	157	exon
ENSMUSG00000001053.16	63	exon
ENSMUSG00000001054.10	132	exon
ENSMUSG00000001056.4	185	exon
ENSMUSG00000001062.19	155	exon
ENSMUSG00000001065.16	53	exon
ENSMUSG00000001082.13	75	exon
ENSMUSG00000001089.15	132	exon
ENSMUSG00000001098.16	101	exon
ENSMUSG00000001100.11	193	exon
ENSMUSG00000001105.16	280	exon
ENSMUSG00000001119.8	109	exon
ENSMUSG00000001120.16	88	exon
ENSMUSG00000001123.16	17	exon
ENSMUSG00000001127.13	673	exon
ENSMUSG00000001128.8	44	exon
ENSMUSG00000001134.10	30	exon
ENSMUSG00000001138.14	44	exon
ENSMUSG00000001143.14	117	exon
ENSMUSG00000001150.8	202	exon
ENSMUSG00000001151.11	102	exon
ENSMUSG00000001156.10	106	exon
ENSMUSG00000001157.14	130	exon
ENSMUSG00000001158.14	281	exon
ENSMUSG00000001166.18	1	exon
ENSMUSG00000001173.16	210	exon
ENSMUSG00000001175.17	11243	exon
ENSMUSG00000001211.16	377	exon
ENSMUSG00000001225.13	1	exon
ENSMUSG00000001227.13	390	exon
ENSMUSG00000001228.15	5	exon
ENSMUSG00000001229.10	122	exon
ENSMUSG00000001240.14	17	exon
ENSMUSG00000001247.17	7	exon
ENSMUSG00000001248.16	205	exon
ENSMUSG00000001249.15	1	exon
ENSMUSG00000001260.11	69	exon
ENSMUSG00000001270.10	8640	exon
ENSMUSG00000001280.14	56	exon
ENSMUSG00000001281.11	1	exon
ENSMUSG00000001285.13	98	exon
ENSMUSG00000001288.16	30	exon
ENSMUSG00000001289.13	559	exon
ENSMUSG00000001300.17	307	exon
ENSMUSG00000001305.6	47	exon
ENSMUSG00000001313.13	952	exon
ENSMUSG00000001323.18	145	exon
ENSMUSG00000001334.11	281	exon
ENSMUSG00000001349.6	3	exon
ENSMUSG00000001366.15	191	exon
ENSMUSG00000001376.18	121	exon
ENSMUSG00000001380.8	206	exon
ENSMUSG00000001383.10	412	exon
ENSMUSG00000001415.11	285	exon
ENSMUSG00000001416.14	453	exon
ENSMUSG00000001418.14	93	exon
ENSMUSG00000001419.18	762	exon
ENSMUSG00000001424.15	213	exon
ENSMUSG00000001435.16	3	exon
ENSMUSG00000001436.16	14	exon
ENSMUSG00000001440.6	355	exon
ENSMUSG00000001441.14	767	exon
ENSMUSG00000001445.11	113	exon
ENSMUSG00000001467.6	104	exon
ENSMUSG00000001472.18	534	exon
ENSMUSG00000001482.16	83	exon
ENSMUSG00000001493.10	2	exon
ENSMUSG00000001496.16	12	exon
ENSMUSG00000001506.11	9	exon
ENSMUSG00000001507.17	13	exon
ENSMUSG00000001508.16	7	exon
ENSMUSG00000001518.13	56	exon
ENSMUSG00000001520.13	23	exon
ENSMUSG00000001521.13	70	exon
ENSMUSG00000001524.15	58	exon
ENSMUSG00000001525.11	1184	exon
ENSMUSG00000001542.8	98	exon
ENSMUSG00000001552.15	269	exon
ENSMUSG00000001555.11	20	exon
ENSMUSG00000001558.6	4	exon
ENSMUSG00000001569.11	85	exon
ENSMUSG00000001576.16	227	exon
ENSMUSG00000001627.13	72	exon
ENSMUSG00000001630.14	39	exon
ENSMUSG00000001632.17	127	exon
ENSMUSG00000001642.19	4	exon
ENSMUSG00000001663.11	13	exon
ENSMUSG00000001665.12	11	exon
ENSMUSG00000001666.9	74	exon
ENSMUSG00000001672.15	6	exon
ENSMUSG00000001674.12	59	exon
ENSMUSG00000001687.16	856	exon
ENSMUSG00000001700.11	41	exon
ENSMUSG00000001707.9	108	exon
ENSMUSG00000001729.15	410	exon
ENSMUSG00000001741.13	1	exon
ENSMUSG00000001750.17	16	exon
ENSMUSG00000001751.10	38	exon
ENSMUSG00000001755.13	63	exon
ENSMUSG00000001761.8	18	exon
ENSMUSG00000001763.15	21	exon
ENSMUSG00000001767.6	73	exon
ENSMUSG00000001768.17	83	exon
ENSMUSG00000001773.15	24	exon
ENSMUSG00000001774.9	138	exon
ENSMUSG00000001783.4	326	exon
ENSMUSG00000001785.14	72	exon
ENSMUSG00000001786.15	76	exon
ENSMUSG00000001794.14	170	exon
ENSMUSG00000001802.17	107	exon
ENSMUSG00000001827.13	3	exon
ENSMUSG00000001829.18	97	exon
ENSMUSG00000001833.18	772	exon
ENSMUSG00000001844.11	36	exon
ENSMUSG00000001847.15	646	exon
ENSMUSG00000001855.16	78	exon
ENSMUSG00000001864.14	43	exon
ENSMUSG00000001870.17	5	exon
ENSMUSG00000001891.17	314	exon
ENSMUSG00000001901.16	2	exon
ENSMUSG00000001909.17	174	exon
ENSMUSG00000001910.6	266	exon
ENSMUSG00000001911.17	183	exon
ENSMUSG00000001918.18	6	exon
ENSMUSG00000001924.16	461	exon
ENSMUSG00000001930.18	17	exon
ENSMUSG00000001942.9	54	exon
ENSMUSG00000001943.9	1	exon
ENSMUSG00000001946.15	37	exon
ENSMUSG00000001948.11	23	exon
ENSMUSG00000001962.9	87	exon
ENSMUSG00000001964.15	128	exon
ENSMUSG00000001983.8	7	exon
ENSMUSG00000001985.10	95	exon
ENSMUSG00000001986.17	484	exon
ENSMUSG00000001995.10	38	exon
ENSMUSG00000001998.16	21	exon
ENSMUSG00000001999.16	57	exon
ENSMUSG00000002006.13	454	exon
ENSMUSG00000002007.6	12	exon
ENSMUSG00000002010.18	273	exon
ENSMUSG00000002012.14	151	exon
ENSMUSG00000002014.13	117	exon
ENSMUSG00000002015.6	104	exon
ENSMUSG00000002017.11	49	exon
ENSMUSG00000002020.16	1	exon
ENSMUSG00000002028.14	794	exon
ENSMUSG00000002031.14	79	exon
ENSMUSG00000002032.18	30	exon
ENSMUSG00000002043.18	32	exon
ENSMUSG00000002052.7	354	exon
ENSMUSG00000002055.10	9	exon
ENSMUSG00000002058.14	53	exon
ENSMUSG00000002059.19	105	exon
ENSMUSG00000002064.11	160	exon
ENSMUSG00000002068.17	3	exon
ENSMUSG00000002076.13	3	exon
ENSMUSG00000002083.14	66	exon
ENSMUSG00000002102.16	461	exon
ENSMUSG00000002103.17	132	exon
