GeneID	nReads	ftype
ENSMUSG00000000001.5	80	exon
ENSMUSG00000000028.16	10	exon
ENSMUSG00000000037.18	3	exon
ENSMUSG00000000056.8	114	exon
ENSMUSG00000000058.7	18	exon
ENSMUSG00000000078.8	73	exon
ENSMUSG00000000085.17	166	exon
ENSMUSG00000000088.8	564	exon
ENSMUSG00000000093.7	9	exon
ENSMUSG00000000094.13	2	exon
ENSMUSG00000000120.7	6	exon
ENSMUSG00000000125.6	7	exon
ENSMUSG00000000127.16	77	exon
ENSMUSG00000000131.16	102	exon
ENSMUSG00000000134.18	124	exon
ENSMUSG00000000142.16	61	exon
ENSMUSG00000000148.18	24	exon
ENSMUSG00000000149.11	272	exon
ENSMUSG00000000154.17	1	exon
ENSMUSG00000000167.15	5	exon
ENSMUSG00000000168.11	185	exon
ENSMUSG00000000171.6	94	exon
ENSMUSG00000000184.13	519	exon
ENSMUSG00000000194.14	85	exon
ENSMUSG00000000197.9	250	exon
ENSMUSG00000000202.10	43	exon
ENSMUSG00000000214.12	12	exon
ENSMUSG00000000216.9	1	exon
ENSMUSG00000000223.14	121	exon
ENSMUSG00000000244.18	1	exon
ENSMUSG00000000247.12	95	exon
ENSMUSG00000000253.14	173	exon
ENSMUSG00000000266.12	64	exon
ENSMUSG00000000275.17	11	exon
ENSMUSG00000000276.12	63	exon
ENSMUSG00000000278.11	24	exon
ENSMUSG00000000282.13	96	exon
ENSMUSG00000000290.14	10	exon
ENSMUSG00000000295.14	46	exon
ENSMUSG00000000296.9	241	exon
ENSMUSG00000000301.17	13	exon
ENSMUSG00000000303.14	1	exon
ENSMUSG00000000305.13	132	exon
ENSMUSG00000000308.15	424	exon
ENSMUSG00000000317.12	6	exon
ENSMUSG00000000326.14	240	exon
ENSMUSG00000000339.15	136	exon
ENSMUSG00000000340.11	63	exon
ENSMUSG00000000346.10	217	exon
ENSMUSG00000000355.14	102	exon
ENSMUSG00000000359.4	3	exon
ENSMUSG00000000365.10	2	exon
ENSMUSG00000000374.9	206	exon
ENSMUSG00000000378.16	418	exon
ENSMUSG00000000384.16	67	exon
ENSMUSG00000000399.11	353	exon
ENSMUSG00000000402.3	1	exon
ENSMUSG00000000409.15	3	exon
ENSMUSG00000000416.17	901	exon
ENSMUSG00000000420.16	94	exon
ENSMUSG00000000439.10	83	exon
ENSMUSG00000000440.13	4	exon
ENSMUSG00000000441.18	199	exon
ENSMUSG00000000486.14	14	exon
ENSMUSG00000000489.8	48	exon
ENSMUSG00000000530.17	89	exon
ENSMUSG00000000531.6	353	exon
ENSMUSG00000000532.12	141	exon
ENSMUSG00000000538.19	259	exon
ENSMUSG00000000552.11	64	exon
ENSMUSG00000000555.9	59	exon
ENSMUSG00000000560.10	437	exon
ENSMUSG00000000561.15	86	exon
ENSMUSG00000000562.6	1	exon
ENSMUSG00000000563.18	760	exon
ENSMUSG00000000567.6	194	exon
ENSMUSG00000000568.16	641	exon
ENSMUSG00000000579.15	2	exon
ENSMUSG00000000581.9	205	exon
ENSMUSG00000000594.8	161	exon
ENSMUSG00000000600.16	269	exon
ENSMUSG00000000605.10	732	exon
ENSMUSG00000000627.16	26	exon
ENSMUSG00000000628.11	9	exon
ENSMUSG00000000631.21	284	exon
ENSMUSG00000000632.14	796	exon
ENSMUSG00000000682.8	5	exon
ENSMUSG00000000686.12	1	exon
ENSMUSG00000000693.11	11	exon
ENSMUSG00000000708.15	64	exon
