GeneID	nReads	ftype
ENSMUSG00000000001.5	42	exon
ENSMUSG00000000028.16	3	exon
ENSMUSG00000000037.18	4	exon
ENSMUSG00000000056.8	85	exon
ENSMUSG00000000058.7	15	exon
ENSMUSG00000000078.8	70	exon
ENSMUSG00000000085.17	86	exon
ENSMUSG00000000088.8	383	exon
ENSMUSG00000000093.7	4	exon
ENSMUSG00000000094.13	1	exon
ENSMUSG00000000120.7	5	exon
ENSMUSG00000000125.6	13	exon
ENSMUSG00000000127.16	26	exon
ENSMUSG00000000131.16	71	exon
ENSMUSG00000000134.18	100	exon
ENSMUSG00000000142.16	34	exon
ENSMUSG00000000148.18	22	exon
ENSMUSG00000000149.11	143	exon
ENSMUSG00000000167.15	2	exon
ENSMUSG00000000168.11	137	exon
ENSMUSG00000000171.6	124	exon
ENSMUSG00000000184.13	297	exon
ENSMUSG00000000194.14	39	exon
ENSMUSG00000000197.9	162	exon
ENSMUSG00000000202.10	36	exon
ENSMUSG00000000214.12	11	exon
ENSMUSG00000000223.14	93	exon
ENSMUSG00000000244.18	2	exon
ENSMUSG00000000247.12	47	exon
ENSMUSG00000000253.14	114	exon
ENSMUSG00000000266.12	50	exon
ENSMUSG00000000275.17	7	exon
ENSMUSG00000000276.12	57	exon
ENSMUSG00000000278.11	11	exon
ENSMUSG00000000282.13	59	exon
ENSMUSG00000000290.14	17	exon
ENSMUSG00000000295.14	27	exon
ENSMUSG00000000296.9	137	exon
ENSMUSG00000000301.17	2	exon
ENSMUSG00000000303.14	4	exon
ENSMUSG00000000305.13	51	exon
ENSMUSG00000000308.15	295	exon
ENSMUSG00000000317.12	1	exon
ENSMUSG00000000320.11	1	exon
ENSMUSG00000000326.14	156	exon
ENSMUSG00000000339.15	100	exon
ENSMUSG00000000340.11	34	exon
ENSMUSG00000000346.10	159	exon
ENSMUSG00000000355.14	81	exon
ENSMUSG00000000365.10	1	exon
ENSMUSG00000000374.9	147	exon
ENSMUSG00000000378.16	239	exon
ENSMUSG00000000384.16	25	exon
ENSMUSG00000000392.18	1	exon
ENSMUSG00000000399.11	196	exon
ENSMUSG00000000402.3	4	exon
ENSMUSG00000000409.15	3	exon
ENSMUSG00000000416.17	593	exon
ENSMUSG00000000420.16	63	exon
ENSMUSG00000000439.10	54	exon
ENSMUSG00000000441.18	136	exon
ENSMUSG00000000486.14	18	exon
ENSMUSG00000000489.8	26	exon
ENSMUSG00000000530.17	68	exon
ENSMUSG00000000531.6	318	exon
ENSMUSG00000000532.12	91	exon
ENSMUSG00000000538.19	188	exon
ENSMUSG00000000552.11	38	exon
ENSMUSG00000000555.9	35	exon
ENSMUSG00000000560.10	381	exon
ENSMUSG00000000561.15	42	exon
ENSMUSG00000000562.6	10	exon
ENSMUSG00000000563.18	476	exon
ENSMUSG00000000567.6	96	exon
ENSMUSG00000000568.16	445	exon
ENSMUSG00000000581.9	126	exon
ENSMUSG00000000594.8	101	exon
ENSMUSG00000000600.16	164	exon
ENSMUSG00000000605.10	451	exon
ENSMUSG00000000606.20	4	exon
ENSMUSG00000000627.16	23	exon
ENSMUSG00000000628.11	8	exon
