GeneID	nReads	ftype
ENSMUSG00000000001.5	81	exon
ENSMUSG00000000028.16	9	exon
ENSMUSG00000000037.18	7	exon
ENSMUSG00000000056.8	167	exon
ENSMUSG00000000058.7	14	exon
ENSMUSG00000000078.8	90	exon
ENSMUSG00000000085.17	175	exon
ENSMUSG00000000088.8	637	exon
ENSMUSG00000000093.7	4	exon
ENSMUSG00000000120.7	10	exon
ENSMUSG00000000125.6	2	exon
ENSMUSG00000000126.12	2	exon
ENSMUSG00000000127.16	55	exon
ENSMUSG00000000131.16	103	exon
ENSMUSG00000000134.18	121	exon
ENSMUSG00000000142.16	63	exon
ENSMUSG00000000148.18	36	exon
ENSMUSG00000000149.11	306	exon
ENSMUSG00000000154.17	1	exon
ENSMUSG00000000159.17	2	exon
ENSMUSG00000000167.15	4	exon
ENSMUSG00000000168.11	203	exon
ENSMUSG00000000171.6	95	exon
ENSMUSG00000000184.13	574	exon
ENSMUSG00000000194.14	87	exon
ENSMUSG00000000197.9	327	exon
ENSMUSG00000000202.10	53	exon
ENSMUSG00000000214.12	13	exon
ENSMUSG00000000223.14	120	exon
ENSMUSG00000000247.12	104	exon
ENSMUSG00000000248.17	3	exon
ENSMUSG00000000253.14	213	exon
ENSMUSG00000000266.12	75	exon
ENSMUSG00000000275.17	11	exon
ENSMUSG00000000276.12	88	exon
ENSMUSG00000000278.11	12	exon
ENSMUSG00000000282.13	88	exon
ENSMUSG00000000290.14	13	exon
ENSMUSG00000000295.14	75	exon
ENSMUSG00000000296.9	285	exon
ENSMUSG00000000301.17	2	exon
ENSMUSG00000000303.14	2	exon
ENSMUSG00000000305.13	134	exon
ENSMUSG00000000308.15	418	exon
ENSMUSG00000000317.12	7	exon
ENSMUSG00000000320.11	2	exon
ENSMUSG00000000326.14	281	exon
ENSMUSG00000000339.15	161	exon
ENSMUSG00000000340.11	74	exon
ENSMUSG00000000346.10	266	exon
ENSMUSG00000000355.14	130	exon
ENSMUSG00000000365.10	1	exon
ENSMUSG00000000374.9	250	exon
ENSMUSG00000000378.16	423	exon
ENSMUSG00000000384.16	64	exon
ENSMUSG00000000399.11	347	exon
ENSMUSG00000000402.3	4	exon
ENSMUSG00000000409.15	6	exon
ENSMUSG00000000416.17	1052	exon
ENSMUSG00000000420.16	83	exon
ENSMUSG00000000439.10	82	exon
ENSMUSG00000000441.18	242	exon
ENSMUSG00000000486.14	18	exon
ENSMUSG00000000489.8	50	exon
ENSMUSG00000000530.17	118	exon
ENSMUSG00000000531.6	280	exon
ENSMUSG00000000532.12	199	exon
ENSMUSG00000000538.19	293	exon
ENSMUSG00000000552.11	87	exon
ENSMUSG00000000555.9	58	exon
ENSMUSG00000000560.10	458	exon
ENSMUSG00000000561.15	97	exon
ENSMUSG00000000562.6	1	exon
ENSMUSG00000000563.18	806	exon
ENSMUSG00000000567.6	202	exon
ENSMUSG00000000568.16	734	exon
ENSMUSG00000000579.15	4	exon
ENSMUSG00000000581.9	240	exon
