GeneID	nReads	ftype
ENSMUSG00000000001.5	26	exon
ENSMUSG00000000028.16	8	exon
ENSMUSG00000000031.19	1	exon
ENSMUSG00000000056.8	30	exon
ENSMUSG00000000058.7	10	exon
ENSMUSG00000000078.8	27	exon
ENSMUSG00000000085.17	36	exon
ENSMUSG00000000088.8	165	exon
ENSMUSG00000000120.7	1	exon
ENSMUSG00000000125.6	6	exon
ENSMUSG00000000126.12	3	exon
ENSMUSG00000000127.16	12	exon
ENSMUSG00000000131.16	35	exon
ENSMUSG00000000134.18	32	exon
ENSMUSG00000000142.16	15	exon
ENSMUSG00000000148.18	3	exon
ENSMUSG00000000149.11	71	exon
ENSMUSG00000000167.15	1	exon
ENSMUSG00000000168.11	63	exon
ENSMUSG00000000171.6	27	exon
ENSMUSG00000000184.13	171	exon
ENSMUSG00000000194.14	27	exon
ENSMUSG00000000197.9	71	exon
ENSMUSG00000000202.10	17	exon
ENSMUSG00000000214.12	5	exon
ENSMUSG00000000223.14	31	exon
ENSMUSG00000000247.12	31	exon
ENSMUSG00000000253.14	50	exon
ENSMUSG00000000266.12	14	exon
ENSMUSG00000000276.12	35	exon
ENSMUSG00000000278.11	4	exon
ENSMUSG00000000282.13	19	exon
ENSMUSG00000000290.14	1	exon
ENSMUSG00000000295.14	10	exon
ENSMUSG00000000296.9	53	exon
ENSMUSG00000000301.17	1	exon
ENSMUSG00000000305.13	27	exon
ENSMUSG00000000308.15	110	exon
ENSMUSG00000000326.14	43	exon
ENSMUSG00000000339.15	57	exon
ENSMUSG00000000340.11	17	exon
ENSMUSG00000000346.10	78	exon
ENSMUSG00000000355.14	25	exon
ENSMUSG00000000365.10	1	exon
ENSMUSG00000000374.9	78	exon
ENSMUSG00000000378.16	100	exon
ENSMUSG00000000384.16	12	exon
ENSMUSG00000000399.11	105	exon
ENSMUSG00000000409.15	2	exon
ENSMUSG00000000416.17	243	exon
ENSMUSG00000000420.16	25	exon
ENSMUSG00000000439.10	12	exon
ENSMUSG00000000441.18	49	exon
ENSMUSG00000000486.14	4	exon
ENSMUSG00000000489.8	10	exon
ENSMUSG00000000530.17	12	exon
ENSMUSG00000000531.6	81	exon
ENSMUSG00000000532.12	43	exon
ENSMUSG00000000538.19	76	exon
ENSMUSG00000000552.11	15	exon
ENSMUSG00000000555.9	15	exon
ENSMUSG00000000560.10	116	exon
ENSMUSG00000000561.15	27	exon
ENSMUSG00000000563.18	240	exon
ENSMUSG00000000567.6	52	exon
ENSMUSG00000000568.16	193	exon
ENSMUSG00000000581.9	53	exon
ENSMUSG00000000594.8	59	exon
ENSMUSG00000000600.16	83	exon
ENSMUSG00000000605.10	152	exon
ENSMUSG00000000627.16	12	exon
ENSMUSG00000000628.11	5	exon
ENSMUSG00000000631.21	65	exon
ENSMUSG00000000632.14	232	exon
ENSMUSG00000000693.11	3	exon
ENSMUSG00000000708.15	32	exon
ENSMUSG00000000711.4	56	exon
ENSMUSG00000000732.10	2	exon
ENSMUSG00000000738.19	36	exon
ENSMUSG00000000740.13	352	exon
ENSMUSG00000000743.10	39	exon
ENSMUSG00000000751.14	37	exon
ENSMUSG00000000753.16	1	exon
ENSMUSG00000000759.15	20	exon
ENSMUSG00000000766.19	2	exon
ENSMUSG00000000776.14	26	exon
ENSMUSG00000000782.17	10	exon
ENSMUSG00000000787.13	103	exon
ENSMUSG00000000791.10	1	exon
ENSMUSG00000000794.10	19	exon
ENSMUSG00000000804.15	55	exon
ENSMUSG00000000823.17	44	exon
ENSMUSG00000000826.17	123	exon
ENSMUSG00000000827.19	34	exon
ENSMUSG00000000838.18	44	exon
ENSMUSG00000000861.16	63	exon
ENSMUSG00000000869.13	1	exon
ENSMUSG00000000876.12	15	exon
ENSMUSG00000000881.13	99	exon
ENSMUSG00000000884.18	5	exon
ENSMUSG00000000901.18	1	exon
ENSMUSG00000000902.14	82	exon
ENSMUSG00000000915.16	40	exon
ENSMUSG00000000916.16	6	exon
ENSMUSG00000000934.10	4	exon
ENSMUSG00000000948.17	6	exon
ENSMUSG00000000957.12	5	exon
ENSMUSG00000000958.11	1	exon
ENSMUSG00000000959.8	28	exon
ENSMUSG00000000976.14	22	exon
ENSMUSG00000001016.13	107	exon
ENSMUSG00000001017.17	138	exon
ENSMUSG00000001018.16	13	exon
ENSMUSG00000001025.9	18	exon
ENSMUSG00000001029.16	3	exon
ENSMUSG00000001034.18	2	exon
ENSMUSG00000001036.18	77	exon
ENSMUSG00000001039.13	11	exon
ENSMUSG00000001052.16	39	exon
ENSMUSG00000001053.16	12	exon
ENSMUSG00000001054.10	39	exon
ENSMUSG00000001056.4	53	exon
ENSMUSG00000001062.19	27	exon
ENSMUSG00000001065.16	13	exon
ENSMUSG00000001082.13	8	exon
ENSMUSG00000001089.15	24	exon
ENSMUSG00000001098.16	22	exon
ENSMUSG00000001100.11	37	exon
ENSMUSG00000001105.16	66	exon
ENSMUSG00000001119.8	32	exon
ENSMUSG00000001120.16	18	exon
ENSMUSG00000001123.16	4	exon
ENSMUSG00000001127.13	163	exon
ENSMUSG00000001128.8	17	exon
ENSMUSG00000001134.10	3	exon
ENSMUSG00000001138.14	10	exon
ENSMUSG00000001143.14	17	exon
ENSMUSG00000001150.8	44	exon
ENSMUSG00000001151.11	18	exon
ENSMUSG00000001156.10	20	exon
ENSMUSG00000001157.14	28	exon
ENSMUSG00000001158.14	75	exon
ENSMUSG00000001173.16	59	exon
ENSMUSG00000001175.17	2645	exon
ENSMUSG00000001211.16	96	exon
ENSMUSG00000001227.13	92	exon
ENSMUSG00000001228.15	1	exon
ENSMUSG00000001229.10	39	exon
ENSMUSG00000001240.14	8	exon
ENSMUSG00000001247.17	3	exon
ENSMUSG00000001248.16	40	exon
ENSMUSG00000001260.11	21	exon
ENSMUSG00000001270.10	1922	exon
ENSMUSG00000001280.14	13	exon
ENSMUSG00000001285.13	31	exon
ENSMUSG00000001289.13	156	exon
ENSMUSG00000001300.17	69	exon
ENSMUSG00000001305.6	11	exon
ENSMUSG00000001313.13	177	exon
ENSMUSG00000001323.18	21	exon
ENSMUSG00000001334.11	58	exon
