GeneID	nReads	ftype
ENSMUSG00000000001.5	43	exon
ENSMUSG00000000028.16	1	exon
ENSMUSG00000000037.18	1	exon
ENSMUSG00000000049.12	1	exon
ENSMUSG00000000056.8	93	exon
ENSMUSG00000000058.7	23	exon
ENSMUSG00000000078.8	37	exon
ENSMUSG00000000085.17	71	exon
ENSMUSG00000000088.8	334	exon
ENSMUSG00000000093.7	4	exon
ENSMUSG00000000094.13	2	exon
ENSMUSG00000000120.7	6	exon
ENSMUSG00000000125.6	6	exon
ENSMUSG00000000126.12	1	exon
ENSMUSG00000000127.16	23	exon
ENSMUSG00000000131.16	55	exon
ENSMUSG00000000134.18	78	exon
ENSMUSG00000000142.16	27	exon
ENSMUSG00000000148.18	17	exon
ENSMUSG00000000149.11	134	exon
ENSMUSG00000000167.15	4	exon
ENSMUSG00000000168.11	133	exon
ENSMUSG00000000171.6	102	exon
ENSMUSG00000000184.13	315	exon
ENSMUSG00000000194.14	44	exon
ENSMUSG00000000197.9	132	exon
ENSMUSG00000000202.10	34	exon
ENSMUSG00000000214.12	3	exon
ENSMUSG00000000223.14	66	exon
ENSMUSG00000000244.18	3	exon
ENSMUSG00000000247.12	63	exon
ENSMUSG00000000253.14	121	exon
ENSMUSG00000000263.16	4	exon
ENSMUSG00000000266.12	34	exon
ENSMUSG00000000275.17	10	exon
ENSMUSG00000000276.12	45	exon
ENSMUSG00000000278.11	12	exon
ENSMUSG00000000282.13	52	exon
ENSMUSG00000000290.14	5	exon
ENSMUSG00000000295.14	22	exon
ENSMUSG00000000296.9	126	exon
ENSMUSG00000000301.17	4	exon
ENSMUSG00000000305.13	76	exon
ENSMUSG00000000308.15	231	exon
ENSMUSG00000000320.11	1	exon
ENSMUSG00000000326.14	145	exon
ENSMUSG00000000339.15	83	exon
ENSMUSG00000000340.11	33	exon
ENSMUSG00000000346.10	161	exon
ENSMUSG00000000355.14	87	exon
ENSMUSG00000000365.10	1	exon
ENSMUSG00000000374.9	142	exon
ENSMUSG00000000378.16	226	exon
ENSMUSG00000000384.16	53	exon
ENSMUSG00000000399.11	164	exon
ENSMUSG00000000409.15	11	exon
ENSMUSG00000000416.17	575	exon
ENSMUSG00000000420.16	39	exon
ENSMUSG00000000439.10	57	exon
ENSMUSG00000000441.18	140	exon
ENSMUSG00000000486.14	16	exon
ENSMUSG00000000489.8	23	exon
ENSMUSG00000000530.17	56	exon
ENSMUSG00000000531.6	252	exon
ENSMUSG00000000532.12	76	exon
ENSMUSG00000000538.19	202	exon
ENSMUSG00000000552.11	30	exon
ENSMUSG00000000555.9	37	exon
ENSMUSG00000000560.10	378	exon
ENSMUSG00000000561.15	74	exon
ENSMUSG00000000563.18	449	exon
ENSMUSG00000000567.6	115	exon
ENSMUSG00000000568.16	361	exon
ENSMUSG00000000579.15	1	exon
ENSMUSG00000000581.9	152	exon
ENSMUSG00000000594.8	86	exon
ENSMUSG00000000600.16	186	exon
