GeneID	nReads	ftype
ENSMUSG00000000001.5	56	exon
ENSMUSG00000000028.16	1	exon
ENSMUSG00000000037.18	1	exon
ENSMUSG00000000056.8	75	exon
ENSMUSG00000000058.7	10	exon
ENSMUSG00000000078.8	52	exon
ENSMUSG00000000085.17	117	exon
ENSMUSG00000000088.8	395	exon
ENSMUSG00000000093.7	3	exon
ENSMUSG00000000125.6	2	exon
ENSMUSG00000000126.12	3	exon
ENSMUSG00000000127.16	29	exon
ENSMUSG00000000131.16	84	exon
ENSMUSG00000000134.18	99	exon
ENSMUSG00000000142.16	29	exon
ENSMUSG00000000148.18	34	exon
ENSMUSG00000000149.11	186	exon
ENSMUSG00000000167.15	5	exon
ENSMUSG00000000168.11	155	exon
ENSMUSG00000000171.6	80	exon
ENSMUSG00000000184.13	361	exon
ENSMUSG00000000194.14	61	exon
ENSMUSG00000000197.9	150	exon
ENSMUSG00000000202.10	35	exon
ENSMUSG00000000214.12	11	exon
ENSMUSG00000000223.14	106	exon
ENSMUSG00000000247.12	71	exon
ENSMUSG00000000253.14	159	exon
ENSMUSG00000000263.16	1	exon
ENSMUSG00000000266.12	57	exon
ENSMUSG00000000275.17	5	exon
ENSMUSG00000000276.12	67	exon
ENSMUSG00000000278.11	15	exon
ENSMUSG00000000282.13	46	exon
ENSMUSG00000000290.14	6	exon
ENSMUSG00000000295.14	34	exon
ENSMUSG00000000296.9	164	exon
ENSMUSG00000000301.17	3	exon
ENSMUSG00000000303.14	1	exon
ENSMUSG00000000305.13	65	exon
ENSMUSG00000000308.15	325	exon
ENSMUSG00000000317.12	3	exon
ENSMUSG00000000320.11	1	exon
ENSMUSG00000000326.14	194	exon
ENSMUSG00000000339.15	127	exon
ENSMUSG00000000340.11	37	exon
ENSMUSG00000000346.10	183	exon
ENSMUSG00000000355.14	73	exon
ENSMUSG00000000359.4	1	exon
ENSMUSG00000000374.9	143	exon
ENSMUSG00000000378.16	309	exon
ENSMUSG00000000384.16	51	exon
ENSMUSG00000000392.18	1	exon
ENSMUSG00000000399.11	275	exon
ENSMUSG00000000402.3	1	exon
ENSMUSG00000000409.15	2	exon
ENSMUSG00000000416.17	687	exon
ENSMUSG00000000420.16	41	exon
ENSMUSG00000000439.10	63	exon
ENSMUSG00000000440.13	3	exon
ENSMUSG00000000441.18	158	exon
ENSMUSG00000000486.14	17	exon
ENSMUSG00000000489.8	30	exon
ENSMUSG00000000530.17	75	exon
ENSMUSG00000000531.6	201	exon
ENSMUSG00000000532.12	117	exon
ENSMUSG00000000538.19	223	exon
ENSMUSG00000000552.11	56	exon
ENSMUSG00000000555.9	43	exon
ENSMUSG00000000560.10	325	exon
ENSMUSG00000000561.15	66	exon
ENSMUSG00000000562.6	2	exon
ENSMUSG00000000563.18	524	exon
ENSMUSG00000000567.6	127	exon
ENSMUSG00000000568.16	445	exon
ENSMUSG00000000581.9	162	exon
ENSMUSG00000000594.8	135	exon
ENSMUSG00000000600.16	189	exon
ENSMUSG00000000605.10	512	exon
ENSMUSG00000000627.16	38	exon
ENSMUSG00000000628.11	12	exon
ENSMUSG00000000631.21	177	exon
ENSMUSG00000000632.14	602	exon
ENSMUSG00000000686.12	3	exon
ENSMUSG00000000693.11	8	exon
ENSMUSG00000000708.15	46	exon
ENSMUSG00000000711.4	130	exon
ENSMUSG00000000732.10	4	exon
ENSMUSG00000000738.19	52	exon
ENSMUSG00000000740.13	993	exon
ENSMUSG00000000743.10	107	exon
ENSMUSG00000000751.14	101	exon
ENSMUSG00000000753.16	11	exon
ENSMUSG00000000759.15	65	exon
ENSMUSG00000000766.19	2	exon
ENSMUSG00000000776.14	57	exon
ENSMUSG00000000782.17	19	exon
ENSMUSG00000000787.13	300	exon
ENSMUSG00000000791.10	2	exon
ENSMUSG00000000792.3	5	exon
ENSMUSG00000000794.10	82	exon
ENSMUSG00000000804.15	156	exon
ENSMUSG00000000805.19	8	exon
