GeneID	nReads	ftype
ENSMUSG00000000001.5	75	exon
ENSMUSG00000000028.16	4	exon
ENSMUSG00000000037.18	1	exon
ENSMUSG00000000056.8	129	exon
ENSMUSG00000000058.7	17	exon
ENSMUSG00000000078.8	82	exon
ENSMUSG00000000085.17	118	exon
ENSMUSG00000000088.8	468	exon
ENSMUSG00000000093.7	6	exon
ENSMUSG00000000120.7	4	exon
ENSMUSG00000000125.6	6	exon
ENSMUSG00000000127.16	34	exon
ENSMUSG00000000131.16	91	exon
ENSMUSG00000000134.18	114	exon
ENSMUSG00000000142.16	35	exon
ENSMUSG00000000148.18	45	exon
ENSMUSG00000000149.11	259	exon
ENSMUSG00000000154.17	1	exon
ENSMUSG00000000167.15	6	exon
ENSMUSG00000000168.11	198	exon
ENSMUSG00000000171.6	77	exon
ENSMUSG00000000184.13	455	exon
ENSMUSG00000000194.14	98	exon
ENSMUSG00000000197.9	232	exon
ENSMUSG00000000202.10	50	exon
ENSMUSG00000000214.12	9	exon
ENSMUSG00000000223.14	136	exon
ENSMUSG00000000244.18	2	exon
ENSMUSG00000000247.12	62	exon
ENSMUSG00000000253.14	168	exon
ENSMUSG00000000266.12	53	exon
ENSMUSG00000000275.17	10	exon
ENSMUSG00000000276.12	97	exon
ENSMUSG00000000278.11	21	exon
ENSMUSG00000000282.13	94	exon
ENSMUSG00000000290.14	9	exon
ENSMUSG00000000295.14	54	exon
ENSMUSG00000000296.9	193	exon
ENSMUSG00000000301.17	3	exon
ENSMUSG00000000303.14	1	exon
ENSMUSG00000000305.13	98	exon
ENSMUSG00000000308.15	417	exon
ENSMUSG00000000317.12	4	exon
ENSMUSG00000000318.17	1	exon
ENSMUSG00000000326.14	258	exon
ENSMUSG00000000339.15	136	exon
ENSMUSG00000000340.11	62	exon
ENSMUSG00000000346.10	218	exon
ENSMUSG00000000355.14	77	exon
ENSMUSG00000000365.10	7	exon
ENSMUSG00000000374.9	214	exon
ENSMUSG00000000378.16	377	exon
ENSMUSG00000000384.16	44	exon
ENSMUSG00000000386.19	1	exon
ENSMUSG00000000392.18	1	exon
ENSMUSG00000000399.11	320	exon
ENSMUSG00000000402.3	2	exon
ENSMUSG00000000409.15	4	exon
ENSMUSG00000000411.8	1	exon
ENSMUSG00000000416.17	842	exon
ENSMUSG00000000420.16	64	exon
ENSMUSG00000000435.2	1	exon
ENSMUSG00000000439.10	50	exon
ENSMUSG00000000441.18	158	exon
ENSMUSG00000000486.14	20	exon
ENSMUSG00000000489.8	26	exon
ENSMUSG00000000530.17	97	exon
ENSMUSG00000000531.6	245	exon
ENSMUSG00000000532.12	152	exon
ENSMUSG00000000538.19	259	exon
ENSMUSG00000000552.11	55	exon
ENSMUSG00000000555.9	54	exon
ENSMUSG00000000560.10	381	exon
ENSMUSG00000000561.15	90	exon
ENSMUSG00000000562.6	3	exon
ENSMUSG00000000563.18	719	exon
ENSMUSG00000000567.6	193	exon
ENSMUSG00000000568.16	591	exon
ENSMUSG00000000581.9	166	exon
ENSMUSG00000000594.8	159	exon
ENSMUSG00000000600.16	251	exon
ENSMUSG00000000605.10	648	exon
ENSMUSG00000000627.16	29	exon
ENSMUSG00000000628.11	4	exon
ENSMUSG00000000631.21	211	exon
