GeneID	nReads	ftype
ENSMUSG00000000001.5	11	exon
ENSMUSG00000000028.16	2	exon
ENSMUSG00000000056.8	34	exon
ENSMUSG00000000058.7	3	exon
ENSMUSG00000000078.8	29	exon
ENSMUSG00000000085.17	37	exon
ENSMUSG00000000088.8	97	exon
ENSMUSG00000000093.7	1	exon
ENSMUSG00000000125.6	3	exon
ENSMUSG00000000126.12	1	exon
ENSMUSG00000000127.16	8	exon
ENSMUSG00000000131.16	27	exon
ENSMUSG00000000134.18	33	exon
ENSMUSG00000000142.16	13	exon
ENSMUSG00000000148.18	6	exon
ENSMUSG00000000149.11	41	exon
ENSMUSG00000000167.15	1	exon
ENSMUSG00000000168.11	51	exon
ENSMUSG00000000171.6	41	exon
ENSMUSG00000000184.13	99	exon
ENSMUSG00000000194.14	20	exon
ENSMUSG00000000197.9	44	exon
ENSMUSG00000000202.10	10	exon
ENSMUSG00000000214.12	2	exon
ENSMUSG00000000223.14	30	exon
ENSMUSG00000000247.12	16	exon
ENSMUSG00000000253.14	45	exon
ENSMUSG00000000266.12	14	exon
ENSMUSG00000000275.17	5	exon
ENSMUSG00000000276.12	22	exon
ENSMUSG00000000278.11	2	exon
ENSMUSG00000000282.13	25	exon
ENSMUSG00000000290.14	1	exon
ENSMUSG00000000295.14	6	exon
ENSMUSG00000000296.9	50	exon
ENSMUSG00000000301.17	1	exon
ENSMUSG00000000305.13	17	exon
ENSMUSG00000000308.15	131	exon
ENSMUSG00000000317.12	1	exon
ENSMUSG00000000326.14	86	exon
ENSMUSG00000000339.15	46	exon
ENSMUSG00000000340.11	16	exon
ENSMUSG00000000346.10	65	exon
ENSMUSG00000000355.14	41	exon
ENSMUSG00000000365.10	3	exon
ENSMUSG00000000374.9	57	exon
ENSMUSG00000000378.16	101	exon
ENSMUSG00000000384.16	10	exon
ENSMUSG00000000392.18	1	exon
ENSMUSG00000000399.11	101	exon
ENSMUSG00000000402.3	1	exon
ENSMUSG00000000409.15	1	exon
ENSMUSG00000000416.17	182	exon
ENSMUSG00000000420.16	10	exon
ENSMUSG00000000439.10	26	exon
ENSMUSG00000000441.18	47	exon
ENSMUSG00000000486.14	6	exon
ENSMUSG00000000489.8	3	exon
ENSMUSG00000000530.17	18	exon
ENSMUSG00000000531.6	94	exon
ENSMUSG00000000532.12	23	exon
ENSMUSG00000000538.19	65	exon
ENSMUSG00000000552.11	13	exon
ENSMUSG00000000555.9	20	exon
ENSMUSG00000000560.10	145	exon
ENSMUSG00000000561.15	26	exon
ENSMUSG00000000562.6	2	exon
ENSMUSG00000000563.18	194	exon
ENSMUSG00000000567.6	39	exon
ENSMUSG00000000568.16	142	exon
ENSMUSG00000000581.9	35	exon
ENSMUSG00000000594.8	29	exon
ENSMUSG00000000600.16	56	exon
ENSMUSG00000000605.10	150	exon
ENSMUSG00000000627.16	10	exon
ENSMUSG00000000628.11	3	exon
ENSMUSG00000000631.21	61	exon
ENSMUSG00000000632.14	151	exon
ENSMUSG00000000682.8	1	exon
ENSMUSG00000000693.11	1	exon
ENSMUSG00000000708.15	15	exon
ENSMUSG00000000711.4	30	exon
ENSMUSG00000000732.10	1	exon
ENSMUSG00000000738.19	24	exon
ENSMUSG00000000740.13	280	exon
ENSMUSG00000000743.10	23	exon
ENSMUSG00000000751.14	38	exon
ENSMUSG00000000753.16	4	exon
ENSMUSG00000000759.15	12	exon
ENSMUSG00000000776.14	20	exon
ENSMUSG00000000782.17	12	exon
ENSMUSG00000000787.13	75	exon
ENSMUSG00000000792.3	1	exon
ENSMUSG00000000794.10	35	exon
ENSMUSG00000000804.15	53	exon
ENSMUSG00000000805.19	4	exon
ENSMUSG00000000823.17	29	exon
ENSMUSG00000000826.17	119	exon
ENSMUSG00000000827.19	32	exon
ENSMUSG00000000838.18	20	exon
ENSMUSG00000000861.16	65	exon
ENSMUSG00000000876.12	11	exon
ENSMUSG00000000881.13	103	exon
ENSMUSG00000000884.18	1	exon
ENSMUSG00000000902.14	58	exon
ENSMUSG00000000915.16	33	exon
ENSMUSG00000000916.16	4	exon
ENSMUSG00000000934.10	3	exon
ENSMUSG00000000948.17	3	exon
ENSMUSG00000000957.12	3	exon
ENSMUSG00000000958.11	1	exon
ENSMUSG00000000959.8	25	exon
ENSMUSG00000000976.14	12	exon
ENSMUSG00000001016.13	82	exon
ENSMUSG00000001017.17	109	exon
ENSMUSG00000001018.16	18	exon
ENSMUSG00000001020.9	3	exon
ENSMUSG00000001021.14	3	exon
ENSMUSG00000001025.9	16	exon
ENSMUSG00000001034.18	2	exon
ENSMUSG00000001036.18	60	exon
ENSMUSG00000001039.13	5	exon
ENSMUSG00000001052.16	24	exon
ENSMUSG00000001053.16	14	exon
ENSMUSG00000001054.10	24	exon
ENSMUSG00000001056.4	48	exon
ENSMUSG00000001062.19	28	exon
ENSMUSG00000001065.16	9	exon
ENSMUSG00000001082.13	19	exon
ENSMUSG00000001089.15	26	exon
ENSMUSG00000001098.16	15	exon
ENSMUSG00000001100.11	60	exon
ENSMUSG00000001105.16	49	exon
ENSMUSG00000001119.8	25	exon
ENSMUSG00000001120.16	21	exon
ENSMUSG00000001123.16	2	exon
ENSMUSG00000001127.13	151	exon
ENSMUSG00000001128.8	11	exon
ENSMUSG00000001134.10	8	exon
ENSMUSG00000001138.14	10	exon
ENSMUSG00000001143.14	15	exon
ENSMUSG00000001150.8	37	exon
ENSMUSG00000001151.11	5	exon
ENSMUSG00000001156.10	37	exon
ENSMUSG00000001157.14	26	exon
ENSMUSG00000001158.14	50	exon
ENSMUSG00000001166.18	1	exon
ENSMUSG00000001173.16	42	exon
