GeneID	nReads	ftype
ENSMUSG00000000001.5	31	exon
ENSMUSG00000000028.16	1	exon
ENSMUSG00000000056.8	35	exon
ENSMUSG00000000058.7	14	exon
ENSMUSG00000000078.8	34	exon
ENSMUSG00000000085.17	59	exon
ENSMUSG00000000088.8	163	exon
ENSMUSG00000000093.7	5	exon
ENSMUSG00000000120.7	4	exon
ENSMUSG00000000126.12	1	exon
ENSMUSG00000000127.16	24	exon
ENSMUSG00000000131.16	39	exon
ENSMUSG00000000134.18	50	exon
ENSMUSG00000000142.16	24	exon
ENSMUSG00000000148.18	12	exon
ENSMUSG00000000149.11	67	exon
ENSMUSG00000000154.17	1	exon
ENSMUSG00000000159.17	1	exon
ENSMUSG00000000167.15	1	exon
ENSMUSG00000000168.11	78	exon
ENSMUSG00000000171.6	40	exon
ENSMUSG00000000184.13	166	exon
ENSMUSG00000000194.14	31	exon
ENSMUSG00000000197.9	85	exon
ENSMUSG00000000202.10	7	exon
ENSMUSG00000000214.12	10	exon
ENSMUSG00000000223.14	42	exon
ENSMUSG00000000244.18	1	exon
ENSMUSG00000000247.12	18	exon
ENSMUSG00000000253.14	77	exon
ENSMUSG00000000266.12	13	exon
ENSMUSG00000000275.17	7	exon
ENSMUSG00000000276.12	44	exon
ENSMUSG00000000278.11	20	exon
ENSMUSG00000000282.13	18	exon
ENSMUSG00000000290.14	8	exon
ENSMUSG00000000295.14	17	exon
ENSMUSG00000000296.9	72	exon
ENSMUSG00000000301.17	5	exon
ENSMUSG00000000305.13	35	exon
ENSMUSG00000000308.15	183	exon
ENSMUSG00000000317.12	2	exon
ENSMUSG00000000320.11	2	exon
ENSMUSG00000000326.14	92	exon
ENSMUSG00000000339.15	58	exon
ENSMUSG00000000340.11	28	exon
ENSMUSG00000000346.10	71	exon
ENSMUSG00000000355.14	36	exon
ENSMUSG00000000359.4	3	exon
ENSMUSG00000000365.10	3	exon
ENSMUSG00000000374.9	57	exon
ENSMUSG00000000378.16	117	exon
ENSMUSG00000000384.16	17	exon
ENSMUSG00000000386.19	1	exon
ENSMUSG00000000392.18	3	exon
ENSMUSG00000000399.11	111	exon
ENSMUSG00000000409.15	3	exon
ENSMUSG00000000416.17	208	exon
ENSMUSG00000000420.16	26	exon
ENSMUSG00000000439.10	28	exon
ENSMUSG00000000441.18	37	exon
ENSMUSG00000000486.14	18	exon
ENSMUSG00000000489.8	23	exon
ENSMUSG00000000530.17	43	exon
ENSMUSG00000000531.6	69	exon
ENSMUSG00000000532.12	56	exon
ENSMUSG00000000538.19	91	exon
ENSMUSG00000000552.11	44	exon
ENSMUSG00000000555.9	20	exon
ENSMUSG00000000560.10	87	exon
ENSMUSG00000000561.15	22	exon
ENSMUSG00000000562.6	1	exon
ENSMUSG00000000563.18	279	exon
ENSMUSG00000000567.6	55	exon
ENSMUSG00000000568.16	206	exon
ENSMUSG00000000581.9	39	exon
ENSMUSG00000000594.8	74	exon
ENSMUSG00000000600.16	66	exon
ENSMUSG00000000605.10	223	exon
