GeneID	nReads	ftype
ENSMUSG00000000001.5	23	exon
ENSMUSG00000000028.16	1	exon
ENSMUSG00000000056.8	38	exon
ENSMUSG00000000058.7	3	exon
ENSMUSG00000000078.8	19	exon
ENSMUSG00000000085.17	42	exon
ENSMUSG00000000088.8	170	exon
ENSMUSG00000000120.7	2	exon
ENSMUSG00000000125.6	1	exon
ENSMUSG00000000127.16	14	exon
ENSMUSG00000000131.16	35	exon
ENSMUSG00000000134.18	14	exon
ENSMUSG00000000142.16	12	exon
ENSMUSG00000000148.18	6	exon
ENSMUSG00000000149.11	65	exon
ENSMUSG00000000154.17	2	exon
ENSMUSG00000000167.15	1	exon
ENSMUSG00000000168.11	54	exon
ENSMUSG00000000171.6	18	exon
ENSMUSG00000000184.13	98	exon
ENSMUSG00000000194.14	23	exon
ENSMUSG00000000197.9	46	exon
ENSMUSG00000000202.10	15	exon
ENSMUSG00000000214.12	1	exon
ENSMUSG00000000223.14	24	exon
ENSMUSG00000000247.12	19	exon
ENSMUSG00000000253.14	49	exon
ENSMUSG00000000266.12	12	exon
ENSMUSG00000000275.17	5	exon
ENSMUSG00000000276.12	31	exon
ENSMUSG00000000278.11	9	exon
ENSMUSG00000000282.13	13	exon
ENSMUSG00000000290.14	5	exon
ENSMUSG00000000295.14	21	exon
ENSMUSG00000000296.9	58	exon
ENSMUSG00000000305.13	28	exon
ENSMUSG00000000308.15	76	exon
ENSMUSG00000000317.12	2	exon
ENSMUSG00000000320.11	2	exon
ENSMUSG00000000326.14	68	exon
ENSMUSG00000000339.15	36	exon
ENSMUSG00000000340.11	19	exon
ENSMUSG00000000346.10	55	exon
ENSMUSG00000000355.14	25	exon
ENSMUSG00000000365.10	2	exon
ENSMUSG00000000374.9	38	exon
ENSMUSG00000000378.16	59	exon
ENSMUSG00000000384.16	11	exon
ENSMUSG00000000399.11	69	exon
ENSMUSG00000000402.3	3	exon
ENSMUSG00000000416.17	161	exon
ENSMUSG00000000420.16	17	exon
ENSMUSG00000000439.10	26	exon
ENSMUSG00000000441.18	33	exon
ENSMUSG00000000489.8	9	exon
ENSMUSG00000000530.17	25	exon
ENSMUSG00000000531.6	54	exon
ENSMUSG00000000532.12	25	exon
ENSMUSG00000000538.19	62	exon
ENSMUSG00000000552.11	30	exon
ENSMUSG00000000555.9	12	exon
ENSMUSG00000000560.10	76	exon
ENSMUSG00000000561.15	20	exon
ENSMUSG00000000562.6	1	exon
ENSMUSG00000000563.18	235	exon
ENSMUSG00000000567.6	44	exon
ENSMUSG00000000568.16	131	exon
ENSMUSG00000000581.9	66	exon
ENSMUSG00000000594.8	38	exon
ENSMUSG00000000600.16	63	exon
ENSMUSG00000000605.10	145	exon
ENSMUSG00000000627.16	11	exon
ENSMUSG00000000628.11	4	exon
ENSMUSG00000000631.21	44	exon
ENSMUSG00000000632.14	186	exon
ENSMUSG00000000682.8	4	exon
ENSMUSG00000000693.11	4	exon
ENSMUSG00000000708.15	26	exon
ENSMUSG00000000711.4	47	exon
ENSMUSG00000000732.10	1	exon
ENSMUSG00000000738.19	16	exon
ENSMUSG00000000740.13	401	exon
ENSMUSG00000000743.10	28	exon
ENSMUSG00000000751.14	23	exon
ENSMUSG00000000759.15	13	exon
ENSMUSG00000000766.19	5	exon
ENSMUSG00000000776.14	13	exon
ENSMUSG00000000782.17	6	exon
ENSMUSG00000000787.13	128	exon
ENSMUSG00000000792.3	2	exon
ENSMUSG00000000794.10	15	exon
ENSMUSG00000000804.15	48	exon
ENSMUSG00000000805.19	8	exon
ENSMUSG00000000811.15	1	exon
ENSMUSG00000000823.17	33	exon
ENSMUSG00000000826.17	130	exon
ENSMUSG00000000827.19	39	exon
ENSMUSG00000000838.18	31	exon
ENSMUSG00000000861.16	53	exon
ENSMUSG00000000876.12	11	exon
ENSMUSG00000000881.13	60	exon
ENSMUSG00000000884.18	2	exon
ENSMUSG00000000901.18	11	exon
ENSMUSG00000000902.14	67	exon
ENSMUSG00000000903.4	1	exon
ENSMUSG00000000915.16	34	exon
ENSMUSG00000000916.16	5	exon
ENSMUSG00000000934.10	3	exon
ENSMUSG00000000948.17	2	exon
ENSMUSG00000000957.12	5	exon
ENSMUSG00000000959.8	24	exon
ENSMUSG00000000976.14	17	exon
ENSMUSG00000001016.13	66	exon
ENSMUSG00000001017.17	94	exon
ENSMUSG00000001018.16	24	exon
ENSMUSG00000001020.9	2	exon
ENSMUSG00000001021.14	1	exon
ENSMUSG00000001025.9	17	exon
ENSMUSG00000001034.18	8	exon
ENSMUSG00000001036.18	98	exon
ENSMUSG00000001039.13	10	exon
ENSMUSG00000001052.16	23	exon
ENSMUSG00000001053.16	7	exon
ENSMUSG00000001054.10	32	exon
ENSMUSG00000001056.4	39	exon
ENSMUSG00000001062.19	29	exon
ENSMUSG00000001065.16	13	exon
ENSMUSG00000001082.13	20	exon
ENSMUSG00000001089.15	37	exon
ENSMUSG00000001098.16	18	exon
ENSMUSG00000001100.11	28	exon
ENSMUSG00000001105.16	52	exon
ENSMUSG00000001119.8	30	exon
ENSMUSG00000001120.16	15	exon
ENSMUSG00000001123.16	6	exon
ENSMUSG00000001127.13	124	exon
ENSMUSG00000001128.8	4	exon
ENSMUSG00000001134.10	7	exon
ENSMUSG00000001138.14	13	exon
ENSMUSG00000001143.14	19	exon
ENSMUSG00000001150.8	32	exon
ENSMUSG00000001151.11	23	exon
ENSMUSG00000001156.10	14	exon
ENSMUSG00000001157.14	20	exon
ENSMUSG00000001158.14	63	exon
ENSMUSG00000001173.16	44	exon
ENSMUSG00000001175.17	2367	exon
ENSMUSG00000001211.16	80	exon
ENSMUSG00000001227.13	68	exon
ENSMUSG00000001228.15	2	exon
ENSMUSG00000001229.10	28	exon
ENSMUSG00000001240.14	5	exon
ENSMUSG00000001247.17	8	exon
ENSMUSG00000001248.16	33	exon
ENSMUSG00000001260.11	15	exon
ENSMUSG00000001270.10	1484	exon
ENSMUSG00000001280.14	11	exon
ENSMUSG00000001285.13	18	exon
ENSMUSG00000001288.16	7	exon
ENSMUSG00000001289.13	118	exon
ENSMUSG00000001300.17	47	exon
ENSMUSG00000001305.6	9	exon
ENSMUSG00000001313.13	129	exon
ENSMUSG00000001323.18	26	exon
ENSMUSG00000001334.11	59	exon
ENSMUSG00000001366.15	26	exon
ENSMUSG00000001376.18	33	exon
ENSMUSG00000001380.8	43	exon
ENSMUSG00000001383.10	88	exon
ENSMUSG00000001415.11	69	exon
ENSMUSG00000001416.14	103	exon
ENSMUSG00000001418.14	18	exon
ENSMUSG00000001419.18	145	exon
ENSMUSG00000001420.14	1	exon
ENSMUSG00000001424.15	37	exon
ENSMUSG00000001435.16	1	exon
ENSMUSG00000001436.16	9	exon
ENSMUSG00000001440.6	46	exon
ENSMUSG00000001441.14	124	exon
ENSMUSG00000001445.11	21	exon
ENSMUSG00000001467.6	16	exon
ENSMUSG00000001472.18	165	exon
ENSMUSG00000001482.16	11	exon
ENSMUSG00000001496.16	3	exon
ENSMUSG00000001506.11	5	exon
ENSMUSG00000001507.17	1	exon
ENSMUSG00000001518.13	13	exon
ENSMUSG00000001520.13	2	exon
ENSMUSG00000001521.13	11	exon
ENSMUSG00000001524.15	10	exon
