GeneID	nReads	ftype
ENSMUSG00000000001.5	37	exon
ENSMUSG00000000028.16	3	exon
ENSMUSG00000000037.18	1	exon
ENSMUSG00000000056.8	113	exon
ENSMUSG00000000058.7	19	exon
ENSMUSG00000000078.8	60	exon
ENSMUSG00000000085.17	107	exon
ENSMUSG00000000088.8	436	exon
ENSMUSG00000000120.7	7	exon
ENSMUSG00000000125.6	1	exon
ENSMUSG00000000126.12	1	exon
ENSMUSG00000000127.16	28	exon
ENSMUSG00000000131.16	96	exon
ENSMUSG00000000134.18	81	exon
ENSMUSG00000000142.16	36	exon
ENSMUSG00000000148.18	24	exon
ENSMUSG00000000149.11	211	exon
ENSMUSG00000000159.17	1	exon
ENSMUSG00000000167.15	4	exon
ENSMUSG00000000168.11	156	exon
ENSMUSG00000000171.6	46	exon
ENSMUSG00000000184.13	458	exon
ENSMUSG00000000194.14	49	exon
ENSMUSG00000000197.9	179	exon
ENSMUSG00000000202.10	50	exon
ENSMUSG00000000214.12	12	exon
ENSMUSG00000000216.9	1	exon
ENSMUSG00000000223.14	117	exon
ENSMUSG00000000244.18	1	exon
ENSMUSG00000000247.12	93	exon
ENSMUSG00000000253.14	173	exon
ENSMUSG00000000266.12	35	exon
ENSMUSG00000000275.17	7	exon
ENSMUSG00000000276.12	82	exon
ENSMUSG00000000278.11	15	exon
ENSMUSG00000000282.13	48	exon
ENSMUSG00000000290.14	17	exon
ENSMUSG00000000295.14	46	exon
ENSMUSG00000000296.9	154	exon
ENSMUSG00000000301.17	3	exon
ENSMUSG00000000305.13	82	exon
ENSMUSG00000000308.15	355	exon
ENSMUSG00000000317.12	3	exon
ENSMUSG00000000326.14	167	exon
ENSMUSG00000000339.15	98	exon
ENSMUSG00000000340.11	41	exon
ENSMUSG00000000346.10	170	exon
ENSMUSG00000000355.14	73	exon
ENSMUSG00000000374.9	140	exon
ENSMUSG00000000378.16	298	exon
ENSMUSG00000000384.16	56	exon
ENSMUSG00000000399.11	283	exon
ENSMUSG00000000402.3	4	exon
ENSMUSG00000000416.17	476	exon
ENSMUSG00000000420.16	61	exon
ENSMUSG00000000439.10	53	exon
ENSMUSG00000000441.18	114	exon
ENSMUSG00000000486.14	5	exon
ENSMUSG00000000489.8	25	exon
ENSMUSG00000000530.17	79	exon
ENSMUSG00000000531.6	226	exon
ENSMUSG00000000532.12	166	exon
ENSMUSG00000000538.19	201	exon
ENSMUSG00000000552.11	49	exon
ENSMUSG00000000555.9	49	exon
ENSMUSG00000000560.10	224	exon
ENSMUSG00000000561.15	52	exon
ENSMUSG00000000562.6	2	exon
ENSMUSG00000000563.18	599	exon
ENSMUSG00000000567.6	168	exon
ENSMUSG00000000568.16	467	exon
ENSMUSG00000000579.15	4	exon
ENSMUSG00000000581.9	181	exon
ENSMUSG00000000594.8	133	exon
ENSMUSG00000000600.16	117	exon
ENSMUSG00000000605.10	576	exon
ENSMUSG00000000627.16	31	exon
ENSMUSG00000000628.11	8	exon
ENSMUSG00000000631.21	150	exon
ENSMUSG00000000632.14	727	exon
ENSMUSG00000000682.8	3	exon
ENSMUSG00000000693.11	7	exon
ENSMUSG00000000708.15	58	exon
ENSMUSG00000000711.4	112	exon
ENSMUSG00000000732.10	2	exon
ENSMUSG00000000738.19	60	exon
ENSMUSG00000000740.13	1028	exon
ENSMUSG00000000743.10	122	exon
ENSMUSG00000000751.14	96	exon
ENSMUSG00000000753.16	8	exon
ENSMUSG00000000759.15	41	exon
ENSMUSG00000000776.14	52	exon
ENSMUSG00000000782.17	26	exon
ENSMUSG00000000787.13	263	exon
ENSMUSG00000000792.3	8	exon
ENSMUSG00000000794.10	63	exon
ENSMUSG00000000804.15	107	exon
ENSMUSG00000000805.19	6	exon
ENSMUSG00000000811.15	4	exon
ENSMUSG00000000823.17	56	exon
ENSMUSG00000000826.17	467	exon
ENSMUSG00000000827.19	104	exon
ENSMUSG00000000838.18	108	exon
ENSMUSG00000000861.16	194	exon
ENSMUSG00000000876.12	31	exon
ENSMUSG00000000881.13	289	exon
ENSMUSG00000000884.18	9	exon
ENSMUSG00000000901.18	10	exon
ENSMUSG00000000902.14	196	exon
ENSMUSG00000000915.16	94	exon
ENSMUSG00000000916.16	16	exon
ENSMUSG00000000934.10	4	exon
ENSMUSG00000000948.17	3	exon
ENSMUSG00000000957.12	27	exon
ENSMUSG00000000958.11	1	exon
ENSMUSG00000000959.8	97	exon
ENSMUSG00000000976.14	41	exon
ENSMUSG00000000982.6	3	exon
ENSMUSG00000000983.14	5	exon
ENSMUSG00000001014.7	1	exon
ENSMUSG00000001016.13	284	exon
ENSMUSG00000001017.17	353	exon
ENSMUSG00000001018.16	69	exon
ENSMUSG00000001020.9	9	exon
ENSMUSG00000001021.14	1	exon
ENSMUSG00000001025.9	49	exon
ENSMUSG00000001029.16	1	exon
ENSMUSG00000001034.18	17	exon
ENSMUSG00000001036.18	215	exon
ENSMUSG00000001039.13	29	exon
ENSMUSG00000001052.16	63	exon
ENSMUSG00000001053.16	29	exon
ENSMUSG00000001054.10	54	exon
ENSMUSG00000001056.4	150	exon
ENSMUSG00000001062.19	90	exon
ENSMUSG00000001065.16	22	exon
ENSMUSG00000001082.13	40	exon
ENSMUSG00000001089.15	86	exon
ENSMUSG00000001098.16	80	exon
ENSMUSG00000001100.11	114	exon
ENSMUSG00000001105.16	200	exon
ENSMUSG00000001119.8	42	exon
ENSMUSG00000001120.16	54	exon
ENSMUSG00000001123.16	6	exon
ENSMUSG00000001127.13	350	exon
ENSMUSG00000001128.8	17	exon
ENSMUSG00000001134.10	13	exon
ENSMUSG00000001138.14	21	exon
ENSMUSG00000001143.14	58	exon
ENSMUSG00000001150.8	102	exon
ENSMUSG00000001151.11	63	exon
ENSMUSG00000001155.14	1	exon
ENSMUSG00000001156.10	67	exon
ENSMUSG00000001157.14	55	exon
ENSMUSG00000001158.14	235	exon
ENSMUSG00000001166.18	1	exon
ENSMUSG00000001173.16	127	exon
ENSMUSG00000001175.17	9929	exon
ENSMUSG00000001211.16	289	exon
ENSMUSG00000001227.13	286	exon
ENSMUSG00000001228.15	2	exon
ENSMUSG00000001229.10	77	exon
ENSMUSG00000001240.14	16	exon
ENSMUSG00000001247.17	12	exon
ENSMUSG00000001248.16	119	exon
ENSMUSG00000001249.15	3	exon
ENSMUSG00000001260.11	41	exon
ENSMUSG00000001270.10	5600	exon
ENSMUSG00000001280.14	39	exon
ENSMUSG00000001281.11	3	exon
ENSMUSG00000001285.13	59	exon
ENSMUSG00000001288.16	12	exon
ENSMUSG00000001289.13	567	exon
ENSMUSG00000001300.17	178	exon
ENSMUSG00000001305.6	32	exon
ENSMUSG00000001313.13	574	exon
ENSMUSG00000001323.18	88	exon
ENSMUSG00000001334.11	183	exon
ENSMUSG00000001366.15	116	exon
ENSMUSG00000001376.18	70	exon
ENSMUSG00000001380.8	169	exon
