GeneID	nReads	ftype
ENSMUSG00000000001.5	39	exon
ENSMUSG00000000028.16	2	exon
ENSMUSG00000000056.8	103	exon
ENSMUSG00000000058.7	21	exon
ENSMUSG00000000078.8	51	exon
ENSMUSG00000000085.17	72	exon
ENSMUSG00000000088.8	360	exon
ENSMUSG00000000093.7	2	exon
ENSMUSG00000000120.7	4	exon
ENSMUSG00000000125.6	8	exon
ENSMUSG00000000126.12	3	exon
ENSMUSG00000000127.16	20	exon
ENSMUSG00000000131.16	50	exon
ENSMUSG00000000134.18	58	exon
ENSMUSG00000000142.16	34	exon
ENSMUSG00000000148.18	30	exon
ENSMUSG00000000149.11	174	exon
ENSMUSG00000000154.17	1	exon
ENSMUSG00000000167.15	2	exon
ENSMUSG00000000168.11	106	exon
ENSMUSG00000000171.6	100	exon
ENSMUSG00000000184.13	277	exon
ENSMUSG00000000194.14	56	exon
ENSMUSG00000000197.9	116	exon
ENSMUSG00000000202.10	25	exon
ENSMUSG00000000214.12	10	exon
ENSMUSG00000000223.14	76	exon
ENSMUSG00000000247.12	65	exon
ENSMUSG00000000253.14	110	exon
ENSMUSG00000000266.12	27	exon
ENSMUSG00000000275.17	6	exon
ENSMUSG00000000276.12	47	exon
ENSMUSG00000000278.11	8	exon
ENSMUSG00000000282.13	37	exon
ENSMUSG00000000290.14	3	exon
ENSMUSG00000000295.14	32	exon
ENSMUSG00000000296.9	121	exon
ENSMUSG00000000301.17	5	exon
ENSMUSG00000000305.13	76	exon
ENSMUSG00000000308.15	252	exon
ENSMUSG00000000326.14	146	exon
ENSMUSG00000000339.15	69	exon
ENSMUSG00000000340.11	26	exon
ENSMUSG00000000346.10	150	exon
ENSMUSG00000000355.14	72	exon
ENSMUSG00000000374.9	133	exon
ENSMUSG00000000378.16	272	exon
ENSMUSG00000000384.16	33	exon
ENSMUSG00000000399.11	200	exon
ENSMUSG00000000402.3	5	exon
ENSMUSG00000000409.15	3	exon
ENSMUSG00000000416.17	342	exon
ENSMUSG00000000420.16	50	exon
ENSMUSG00000000439.10	52	exon
ENSMUSG00000000441.18	81	exon
ENSMUSG00000000486.14	10	exon
ENSMUSG00000000489.8	19	exon
ENSMUSG00000000530.17	64	exon
ENSMUSG00000000531.6	215	exon
ENSMUSG00000000532.12	109	exon
ENSMUSG00000000538.19	207	exon
ENSMUSG00000000552.11	40	exon
ENSMUSG00000000555.9	34	exon
