GeneID	nReads	ftype
ENSMUSG00000000001.5	344	exon
ENSMUSG00000000028.16	11	exon
ENSMUSG00000000031.19	1	exon
ENSMUSG00000000037.18	1	exon
ENSMUSG00000000049.12	7	exon
ENSMUSG00000000056.8	301	exon
ENSMUSG00000000058.7	328	exon
ENSMUSG00000000078.8	706	exon
ENSMUSG00000000085.17	187	exon
ENSMUSG00000000088.8	9171	exon
ENSMUSG00000000093.7	5	exon
ENSMUSG00000000094.13	1	exon
ENSMUSG00000000120.7	78	exon
ENSMUSG00000000125.6	72	exon
ENSMUSG00000000126.12	60	exon
ENSMUSG00000000127.16	232	exon
ENSMUSG00000000131.16	292	exon
ENSMUSG00000000134.18	257	exon
ENSMUSG00000000142.16	183	exon
ENSMUSG00000000148.18	153	exon
ENSMUSG00000000149.11	388	exon
ENSMUSG00000000154.17	14	exon
ENSMUSG00000000157.17	2	exon
ENSMUSG00000000159.17	3	exon
ENSMUSG00000000167.15	25	exon
ENSMUSG00000000168.11	1167	exon
ENSMUSG00000000171.6	886	exon
ENSMUSG00000000184.13	1037	exon
ENSMUSG00000000194.14	223	exon
ENSMUSG00000000197.9	431	exon
ENSMUSG00000000202.10	652	exon
ENSMUSG00000000214.12	381	exon
ENSMUSG00000000215.12	6	exon
ENSMUSG00000000216.9	1	exon
ENSMUSG00000000223.14	177	exon
ENSMUSG00000000244.18	7	exon
ENSMUSG00000000247.12	339	exon
ENSMUSG00000000248.17	1	exon
ENSMUSG00000000253.14	603	exon
ENSMUSG00000000263.16	332	exon
ENSMUSG00000000266.12	85	exon
ENSMUSG00000000275.17	27	exon
ENSMUSG00000000276.12	419	exon
ENSMUSG00000000278.11	229	exon
ENSMUSG00000000282.13	256	exon
ENSMUSG00000000290.14	46	exon
ENSMUSG00000000295.14	245	exon
ENSMUSG00000000296.9	637	exon
ENSMUSG00000000301.17	32	exon
ENSMUSG00000000303.14	30	exon
ENSMUSG00000000305.13	309	exon
ENSMUSG00000000308.15	2167	exon
ENSMUSG00000000317.12	7	exon
ENSMUSG00000000318.17	12	exon
ENSMUSG00000000320.11	9	exon
ENSMUSG00000000326.14	1375	exon
ENSMUSG00000000339.15	674	exon
ENSMUSG00000000340.11	161	exon
ENSMUSG00000000346.10	1930	exon
ENSMUSG00000000355.14	784	exon
ENSMUSG00000000359.4	3	exon
ENSMUSG00000000365.10	8	exon
ENSMUSG00000000374.9	404	exon
ENSMUSG00000000378.16	802	exon
ENSMUSG00000000384.16	257	exon
ENSMUSG00000000385.9	3	exon
ENSMUSG00000000386.19	1	exon
ENSMUSG00000000392.18	18	exon
ENSMUSG00000000399.11	1759	exon
ENSMUSG00000000402.3	44	exon
ENSMUSG00000000409.15	15	exon
ENSMUSG00000000411.8	7	exon
ENSMUSG00000000416.17	500	exon
ENSMUSG00000000420.16	250	exon
ENSMUSG00000000439.10	497	exon
ENSMUSG00000000440.13	13	exon
ENSMUSG00000000441.18	501	exon
ENSMUSG00000000486.14	48	exon
ENSMUSG00000000489.8	122	exon
ENSMUSG00000000530.17	104	exon
ENSMUSG00000000531.6	484	exon
ENSMUSG00000000532.12	644	exon
ENSMUSG00000000538.19	1167	exon
ENSMUSG00000000552.11	890	exon
ENSMUSG00000000555.9	11	exon
ENSMUSG00000000560.10	757	exon
ENSMUSG00000000561.15	290	exon
ENSMUSG00000000562.6	1	exon
ENSMUSG00000000563.18	5432	exon
ENSMUSG00000000567.6	1994	exon
ENSMUSG00000000568.16	870	exon
ENSMUSG00000000579.15	9	exon
ENSMUSG00000000581.9	1408	exon
ENSMUSG00000000594.8	973	exon
ENSMUSG00000000600.16	314	exon
ENSMUSG00000000605.10	3504	exon
ENSMUSG00000000627.16	229	exon
ENSMUSG00000000628.11	57	exon
ENSMUSG00000000631.21	735	exon
ENSMUSG00000000632.14	1563	exon
ENSMUSG00000000673.10	7	exon
