GeneID	nReads	ftype
ENSG00000000003.16	116	exon
ENSG00000000005.6	1	exon
ENSG00000000419.14	114	exon
ENSG00000000457.14	6	exon
ENSG00000000460.17	37	exon
ENSG00000001036.14	101	exon
ENSG00000001084.13	43	exon
ENSG00000001167.15	48	exon
ENSG00000001460.18	16	exon
ENSG00000001461.19	13	exon
ENSG00000001497.18	144	exon
ENSG00000001561.7	7	exon
ENSG00000001617.12	52	exon
ENSG00000001626.18	2	exon
ENSG00000001629.10	85	exon
ENSG00000001630.18	3	exon
ENSG00000001631.17	23	exon
ENSG00000002016.18	11	exon
ENSG00000002330.14	12	exon
ENSG00000002549.13	68	exon
ENSG00000002586.20	1	exon
ENSG00000002587.10	2	exon
ENSG00000002746.15	2	exon
ENSG00000002822.16	3	exon
ENSG00000002834.19	188	exon
ENSG00000002919.15	17	exon
ENSG00000003056.8	63	exon
ENSG00000003096.15	15	exon
ENSG00000003147.19	50	exon
ENSG00000003249.15	31	exon
ENSG00000003393.16	59	exon
ENSG00000003400.16	1	exon
ENSG00000003402.21	10	exon
ENSG00000003436.16	1	exon
ENSG00000003509.16	43	exon
ENSG00000003756.17	48	exon
ENSG00000003987.14	10	exon
ENSG00000003989.18	19	exon
ENSG00000004059.11	1	exon
ENSG00000004139.14	6	exon
ENSG00000004142.12	92	exon
ENSG00000004399.13	25	exon
ENSG00000004455.18	125	exon
ENSG00000004478.8	396	exon
ENSG00000004487.18	486	exon
ENSG00000004534.15	146	exon
ENSG00000004660.15	13	exon
ENSG00000004700.16	65	exon
ENSG00000004766.17	18	exon
ENSG00000004776.13	2	exon
ENSG00000004777.19	20	exon
ENSG00000004779.10	307	exon
ENSG00000004809.14	1	exon
ENSG00000004864.14	96	exon
ENSG00000004866.22	6	exon
ENSG00000004897.12	77	exon
ENSG00000004961.15	62	exon
ENSG00000004975.12	36	exon
ENSG00000005007.14	49	exon
ENSG00000005020.13	7	exon
ENSG00000005022.6	578	exon
ENSG00000005059.16	32	exon
ENSG00000005075.16	131	exon
ENSG00000005100.13	159	exon
ENSG00000005108.17	2	exon
ENSG00000005156.12	88	exon
ENSG00000005175.10	66	exon
ENSG00000005189.20	5	exon
ENSG00000005194.15	100	exon
ENSG00000005206.17	31	exon
ENSG00000005238.20	4	exon
ENSG00000005249.14	29	exon
ENSG00000005302.19	12	exon
ENSG00000005339.15	79	exon
ENSG00000005379.17	4	exon
ENSG00000005436.14	21	exon
ENSG00000005448.17	32	exon
ENSG00000005469.12	11	exon
ENSG00000005483.23	98	exon
ENSG00000005486.17	23	exon
ENSG00000005513.11	7	exon
ENSG00000005700.15	73	exon
ENSG00000005801.18	91	exon
ENSG00000005810.20	86	exon
ENSG00000005812.11	15	exon
ENSG00000005882.12	12	exon
ENSG00000005884.18	9	exon
ENSG00000005889.16	16	exon
ENSG00000005893.17	33	exon
ENSG00000005961.19	12	exon
ENSG00000006007.12	92	exon
ENSG00000006015.18	55	exon
ENSG00000006016.12	34	exon
ENSG00000006025.13	5	exon
ENSG00000006042.12	86	exon
ENSG00000006047.13	13	exon
ENSG00000006062.18	5	exon
ENSG00000006071.16	2	exon
ENSG00000006118.15	56	exon
ENSG00000006125.18	209	exon
ENSG00000006128.12	4	exon
ENSG00000006194.12	38	exon
ENSG00000006210.7	2	exon
ENSG00000006282.22	4	exon
ENSG00000006283.18	5	exon
ENSG00000006327.14	137	exon
ENSG00000006432.16	18	exon
ENSG00000006451.8	254	exon
ENSG00000006453.14	57	exon
ENSG00000006459.11	20	exon
ENSG00000006468.15	132	exon
ENSG00000006530.18	35	exon
ENSG00000006534.17	1	exon
ENSG00000006555.11	2	exon
ENSG00000006576.17	37	exon
ENSG00000006607.14	25	exon
ENSG00000006611.17	2	exon
ENSG00000006625.18	142	exon
ENSG00000006634.8	138	exon
ENSG00000006638.13	1	exon
ENSG00000006652.15	42	exon
ENSG00000006659.13	1	exon
ENSG00000006695.12	32	exon
ENSG00000006704.11	26	exon
ENSG00000006712.15	38	exon
ENSG00000006715.16	42	exon
