GeneID	nReads	ftype
ENSG00000000003.16	41	exon
ENSG00000000005.6	1	exon
ENSG00000000419.14	64	exon
ENSG00000000457.14	3	exon
ENSG00000000460.17	11	exon
ENSG00000001036.14	36	exon
ENSG00000001084.13	24	exon
ENSG00000001167.15	15	exon
ENSG00000001460.18	5	exon
ENSG00000001461.19	9	exon
ENSG00000001497.18	56	exon
ENSG00000001561.7	1	exon
ENSG00000001617.12	8	exon
ENSG00000001629.10	37	exon
ENSG00000001631.17	11	exon
ENSG00000002016.18	3	exon
ENSG00000002330.14	4	exon
ENSG00000002549.13	35	exon
ENSG00000002746.15	1	exon
ENSG00000002822.16	1	exon
ENSG00000002834.19	76	exon
ENSG00000002919.15	5	exon
ENSG00000003056.8	27	exon
ENSG00000003096.15	7	exon
ENSG00000003147.19	16	exon
ENSG00000003249.15	18	exon
ENSG00000003393.16	25	exon
ENSG00000003400.16	1	exon
ENSG00000003402.21	8	exon
ENSG00000003436.16	2	exon
ENSG00000003509.16	14	exon
ENSG00000003756.17	11	exon
ENSG00000003987.14	1	exon
ENSG00000003989.18	5	exon
ENSG00000004059.11	2	exon
ENSG00000004139.14	2	exon
ENSG00000004142.12	36	exon
ENSG00000004399.13	12	exon
ENSG00000004455.18	37	exon
ENSG00000004478.8	161	exon
ENSG00000004487.18	190	exon
ENSG00000004534.15	54	exon
ENSG00000004660.15	1	exon
ENSG00000004700.16	28	exon
ENSG00000004766.17	5	exon
ENSG00000004777.19	12	exon
ENSG00000004779.10	107	exon
ENSG00000004864.14	47	exon
ENSG00000004866.22	5	exon
ENSG00000004897.12	27	exon
ENSG00000004961.15	15	exon
ENSG00000004975.12	19	exon
ENSG00000005007.14	16	exon
ENSG00000005020.13	2	exon
ENSG00000005022.6	247	exon
ENSG00000005059.16	14	exon
ENSG00000005075.16	65	exon
ENSG00000005100.13	67	exon
ENSG00000005156.12	40	exon
ENSG00000005175.10	24	exon
ENSG00000005187.12	1	exon
ENSG00000005189.20	2	exon
ENSG00000005194.15	51	exon
ENSG00000005206.17	12	exon
ENSG00000005238.20	8	exon
ENSG00000005249.14	30	exon
ENSG00000005302.19	13	exon
ENSG00000005339.15	48	exon
ENSG00000005379.17	1	exon
ENSG00000005436.14	9	exon
ENSG00000005448.17	18	exon
ENSG00000005469.12	1	exon
ENSG00000005483.23	44	exon
ENSG00000005486.17	5	exon
ENSG00000005513.11	2	exon
ENSG00000005700.15	21	exon
ENSG00000005801.18	36	exon
ENSG00000005810.20	38	exon
ENSG00000005812.11	3	exon
ENSG00000005882.12	5	exon
ENSG00000005884.18	2	exon
ENSG00000005889.16	6	exon
ENSG00000005893.17	23	exon
ENSG00000005961.19	1	exon
ENSG00000006007.12	28	exon
ENSG00000006015.18	31	exon
ENSG00000006016.12	14	exon
ENSG00000006025.13	2	exon
ENSG00000006042.12	28	exon
ENSG00000006047.13	2	exon
ENSG00000006062.18	1	exon
ENSG00000006118.15	16	exon
ENSG00000006125.18	82	exon
ENSG00000006128.12	2	exon
ENSG00000006194.12	10	exon
ENSG00000006282.22	1	exon
ENSG00000006283.18	2	exon
ENSG00000006327.14	61	exon
ENSG00000006432.16	10	exon
