GeneID	nReads	ftype
ENSMUSG00000000001.5	66	exon
ENSMUSG00000000031.19	3	exon
ENSMUSG00000000049.12	2142	exon
ENSMUSG00000000056.8	45	exon
ENSMUSG00000000058.7	1	exon
ENSMUSG00000000078.8	23	exon
ENSMUSG00000000085.17	11	exon
ENSMUSG00000000088.8	310	exon
ENSMUSG00000000093.7	4	exon
ENSMUSG00000000120.7	1	exon
ENSMUSG00000000127.16	13	exon
ENSMUSG00000000131.16	11	exon
ENSMUSG00000000134.18	22	exon
ENSMUSG00000000142.16	7	exon
ENSMUSG00000000148.18	4	exon
ENSMUSG00000000149.11	68	exon
ENSMUSG00000000154.17	98	exon
ENSMUSG00000000159.17	23	exon
ENSMUSG00000000168.11	50	exon
ENSMUSG00000000171.6	91	exon
ENSMUSG00000000184.13	11	exon
ENSMUSG00000000194.14	17	exon
ENSMUSG00000000247.12	3	exon
ENSMUSG00000000253.14	1	exon
ENSMUSG00000000266.12	1	exon
ENSMUSG00000000275.17	44	exon
ENSMUSG00000000276.12	4	exon
ENSMUSG00000000278.11	32	exon
ENSMUSG00000000282.13	7	exon
ENSMUSG00000000290.14	4	exon
ENSMUSG00000000295.14	4	exon
ENSMUSG00000000296.9	12	exon
ENSMUSG00000000301.17	320	exon
ENSMUSG00000000303.14	36	exon
ENSMUSG00000000326.14	900	exon
ENSMUSG00000000339.15	13	exon
ENSMUSG00000000340.11	119	exon
ENSMUSG00000000346.10	98	exon
ENSMUSG00000000355.14	23	exon
ENSMUSG00000000374.9	22	exon
ENSMUSG00000000378.16	30	exon
ENSMUSG00000000384.16	16	exon
ENSMUSG00000000385.9	1	exon
ENSMUSG00000000386.19	3	exon
ENSMUSG00000000399.11	117	exon
ENSMUSG00000000409.15	2	exon
ENSMUSG00000000420.16	16	exon
ENSMUSG00000000439.10	16	exon
ENSMUSG00000000440.13	9	exon
ENSMUSG00000000441.18	60	exon
ENSMUSG00000000486.14	2	exon
ENSMUSG00000000489.8	2	exon
ENSMUSG00000000530.17	3	exon
ENSMUSG00000000531.6	1	exon
ENSMUSG00000000532.12	9	exon
ENSMUSG00000000538.19	8	exon
ENSMUSG00000000552.11	8	exon
ENSMUSG00000000555.9	17	exon
ENSMUSG00000000561.15	10	exon
ENSMUSG00000000563.18	380	exon
ENSMUSG00000000567.6	29	exon
ENSMUSG00000000568.16	50	exon
ENSMUSG00000000581.9	78	exon
ENSMUSG00000000594.8	173	exon
ENSMUSG00000000600.16	33	exon
ENSMUSG00000000605.10	80	exon
ENSMUSG00000000628.11	3	exon
ENSMUSG00000000631.21	49	exon
ENSMUSG00000000673.10	370	exon
ENSMUSG00000000682.8	7	exon
ENSMUSG00000000686.12	8	exon
ENSMUSG00000000693.11	5	exon
ENSMUSG00000000708.15	66	exon
ENSMUSG00000000711.4	41	exon
ENSMUSG00000000732.10	1	exon
ENSMUSG00000000738.19	37	exon
ENSMUSG00000000739.15	22	exon
ENSMUSG00000000740.13	261	exon
ENSMUSG00000000743.10	51	exon
ENSMUSG00000000751.14	16	exon
ENSMUSG00000000753.16	607	exon
ENSMUSG00000000759.15	4	exon
ENSMUSG00000000776.14	8	exon
ENSMUSG00000000782.17	2	exon
ENSMUSG00000000787.13	112	exon
ENSMUSG00000000791.10	1	exon
ENSMUSG00000000804.15	17	exon
ENSMUSG00000000811.15	10	exon
ENSMUSG00000000823.17	22	exon
ENSMUSG00000000826.17	48	exon
ENSMUSG00000000827.19	23	exon
ENSMUSG00000000838.18	22	exon
ENSMUSG00000000876.12	130	exon
ENSMUSG00000000881.13	11	exon
ENSMUSG00000000901.18	2	exon
ENSMUSG00000000902.14	21	exon
ENSMUSG00000000903.4	1	exon
ENSMUSG00000000915.16	12	exon
ENSMUSG00000000916.16	9	exon
ENSMUSG00000000934.10	13	exon
ENSMUSG00000000948.17	1	exon
ENSMUSG00000000957.12	37	exon
ENSMUSG00000000958.11	3	exon
ENSMUSG00000000959.8	29	exon
ENSMUSG00000000976.14	21	exon
ENSMUSG00000001016.13	22	exon
ENSMUSG00000001017.17	40	exon
ENSMUSG00000001018.16	17	exon
ENSMUSG00000001020.9	1	exon
ENSMUSG00000001025.9	4	exon
ENSMUSG00000001029.16	4	exon
ENSMUSG00000001034.18	2	exon
ENSMUSG00000001036.18	6	exon
ENSMUSG00000001052.16	20	exon
ENSMUSG00000001053.16	2	exon
ENSMUSG00000001054.10	9	exon
ENSMUSG00000001056.4	33	exon
ENSMUSG00000001062.19	11	exon
ENSMUSG00000001065.16	9	exon
ENSMUSG00000001082.13	7	exon
ENSMUSG00000001089.15	16	exon
ENSMUSG00000001095.6	1	exon
ENSMUSG00000001098.16	10	exon
ENSMUSG00000001100.11	75	exon
ENSMUSG00000001105.16	84	exon
ENSMUSG00000001119.8	3	exon
ENSMUSG00000001120.16	3	exon
ENSMUSG00000001123.16	375	exon
ENSMUSG00000001127.13	55	exon
ENSMUSG00000001128.8	22	exon
ENSMUSG00000001134.10	27	exon
ENSMUSG00000001138.14	7	exon
ENSMUSG00000001143.14	7	exon
ENSMUSG00000001150.8	9	exon
ENSMUSG00000001151.11	18	exon
ENSMUSG00000001155.14	293	exon
ENSMUSG00000001156.10	10	exon
ENSMUSG00000001157.14	17	exon
ENSMUSG00000001158.14	57	exon
ENSMUSG00000001173.16	3	exon
ENSMUSG00000001175.17	474	exon
ENSMUSG00000001211.16	129	exon
ENSMUSG00000001227.13	5	exon
ENSMUSG00000001228.15	1	exon
ENSMUSG00000001229.10	19	exon
ENSMUSG00000001240.14	11	exon
ENSMUSG00000001247.17	230	exon
ENSMUSG00000001248.16	7	exon
ENSMUSG00000001249.15	273	exon
ENSMUSG00000001270.10	13	exon
ENSMUSG00000001280.14	24	exon
ENSMUSG00000001281.11	1	exon
ENSMUSG00000001285.13	20	exon
ENSMUSG00000001288.16	1	exon
ENSMUSG00000001289.13	79	exon
ENSMUSG00000001300.17	1	exon
ENSMUSG00000001305.6	9	exon
ENSMUSG00000001313.13	34	exon
ENSMUSG00000001323.18	66	exon
ENSMUSG00000001334.11	4	exon
ENSMUSG00000001348.16	127	exon
ENSMUSG00000001366.15	61	exon
ENSMUSG00000001376.18	3	exon
ENSMUSG00000001380.8	41	exon
ENSMUSG00000001383.10	68	exon
ENSMUSG00000001403.14	1	exon
ENSMUSG00000001415.11	10	exon
ENSMUSG00000001416.14	96	exon
ENSMUSG00000001418.14	43	exon
ENSMUSG00000001419.18	18	exon
ENSMUSG00000001420.14	3	exon
ENSMUSG00000001424.15	84	exon
ENSMUSG00000001435.16	595	exon
ENSMUSG00000001436.16	6	exon
ENSMUSG00000001440.6	77	exon
ENSMUSG00000001441.14	41	exon
ENSMUSG00000001445.11	39	exon
ENSMUSG00000001467.6	161	exon
ENSMUSG00000001472.18	89	exon
ENSMUSG00000001473.8	4	exon
ENSMUSG00000001482.16	22	exon
ENSMUSG00000001506.11	9	exon
ENSMUSG00000001507.17	3	exon
ENSMUSG00000001518.13	12	exon
ENSMUSG00000001521.13	1	exon
ENSMUSG00000001524.15	15	exon
ENSMUSG00000001525.11	57	exon
ENSMUSG00000001542.8	32	exon
ENSMUSG00000001552.15	38	exon
ENSMUSG00000001555.11	1	exon
ENSMUSG00000001569.11	27	exon
ENSMUSG00000001576.16	73	exon
ENSMUSG00000001604.15	113	exon
ENSMUSG00000001627.13	6	exon
ENSMUSG00000001630.14	10	exon
ENSMUSG00000001632.17	14	exon
ENSMUSG00000001642.19	1	exon
ENSMUSG00000001661.6	1	exon
ENSMUSG00000001663.11	234	exon
ENSMUSG00000001665.12	53	exon
ENSMUSG00000001666.9	436	exon
ENSMUSG00000001670.14	1069	exon
ENSMUSG00000001674.12	18	exon
ENSMUSG00000001687.16	61	exon
ENSMUSG00000001700.11	24	exon
ENSMUSG00000001707.9	15	exon
ENSMUSG00000001729.15	24	exon
ENSMUSG00000001741.13	3	exon
ENSMUSG00000001750.17	11	exon
ENSMUSG00000001751.10	22	exon
ENSMUSG00000001755.13	107	exon
ENSMUSG00000001761.8	8	exon
ENSMUSG00000001763.15	18	exon
ENSMUSG00000001767.6	19	exon
ENSMUSG00000001768.17	13	exon
