GeneID	nReads	ftype
ENSMUSG00000000001.5	47	exon
ENSMUSG00000000049.12	1153	exon
ENSMUSG00000000056.8	22	exon
ENSMUSG00000000058.7	1	exon
ENSMUSG00000000078.8	14	exon
ENSMUSG00000000085.17	2	exon
ENSMUSG00000000088.8	160	exon
ENSMUSG00000000093.7	2	exon
ENSMUSG00000000127.16	3	exon
ENSMUSG00000000131.16	14	exon
ENSMUSG00000000134.18	16	exon
ENSMUSG00000000142.16	4	exon
ENSMUSG00000000148.18	11	exon
ENSMUSG00000000149.11	34	exon
ENSMUSG00000000154.17	51	exon
ENSMUSG00000000159.17	17	exon
ENSMUSG00000000168.11	23	exon
ENSMUSG00000000171.6	105	exon
ENSMUSG00000000184.13	5	exon
ENSMUSG00000000194.14	7	exon
ENSMUSG00000000244.18	1	exon
ENSMUSG00000000247.12	2	exon
ENSMUSG00000000266.12	2	exon
ENSMUSG00000000275.17	26	exon
ENSMUSG00000000278.11	25	exon
ENSMUSG00000000282.13	9	exon
ENSMUSG00000000296.9	5	exon
ENSMUSG00000000301.17	167	exon
ENSMUSG00000000303.14	26	exon
ENSMUSG00000000317.12	1	exon
ENSMUSG00000000326.14	590	exon
ENSMUSG00000000339.15	10	exon
ENSMUSG00000000340.11	68	exon
ENSMUSG00000000346.10	50	exon
ENSMUSG00000000355.14	16	exon
ENSMUSG00000000374.9	6	exon
ENSMUSG00000000378.16	16	exon
ENSMUSG00000000384.16	14	exon
ENSMUSG00000000386.19	2	exon
ENSMUSG00000000399.11	70	exon
ENSMUSG00000000420.16	16	exon
ENSMUSG00000000439.10	12	exon
ENSMUSG00000000440.13	1	exon
ENSMUSG00000000441.18	34	exon
ENSMUSG00000000486.14	1	exon
ENSMUSG00000000489.8	2	exon
ENSMUSG00000000531.6	1	exon
ENSMUSG00000000532.12	12	exon
ENSMUSG00000000538.19	8	exon
ENSMUSG00000000555.9	3	exon
ENSMUSG00000000561.15	9	exon
ENSMUSG00000000563.18	229	exon
ENSMUSG00000000567.6	9	exon
ENSMUSG00000000568.16	27	exon
ENSMUSG00000000581.9	45	exon
ENSMUSG00000000594.8	116	exon
ENSMUSG00000000600.16	6	exon
ENSMUSG00000000605.10	60	exon
ENSMUSG00000000631.21	11	exon
ENSMUSG00000000673.10	193	exon
ENSMUSG00000000682.8	2	exon
ENSMUSG00000000686.12	2	exon
ENSMUSG00000000708.15	33	exon
ENSMUSG00000000711.4	23	exon
ENSMUSG00000000738.19	17	exon
ENSMUSG00000000739.15	10	exon
ENSMUSG00000000740.13	165	exon
ENSMUSG00000000743.10	10	exon
ENSMUSG00000000751.14	8	exon
ENSMUSG00000000753.16	266	exon
ENSMUSG00000000759.15	5	exon
ENSMUSG00000000776.14	4	exon
ENSMUSG00000000782.17	1	exon
ENSMUSG00000000787.13	58	exon
ENSMUSG00000000791.10	1	exon
ENSMUSG00000000804.15	6	exon
ENSMUSG00000000811.15	2	exon
ENSMUSG00000000823.17	6	exon
ENSMUSG00000000826.17	35	exon
ENSMUSG00000000827.19	10	exon
ENSMUSG00000000838.18	4	exon
ENSMUSG00000000876.12	79	exon
ENSMUSG00000000881.13	6	exon
ENSMUSG00000000884.18	3	exon
ENSMUSG00000000901.18	1	exon
ENSMUSG00000000902.14	15	exon
ENSMUSG00000000915.16	6	exon
ENSMUSG00000000916.16	10	exon
ENSMUSG00000000934.10	11	exon
ENSMUSG00000000957.12	11	exon
ENSMUSG00000000958.11	3	exon
ENSMUSG00000000959.8	17	exon
ENSMUSG00000000976.14	9	exon
ENSMUSG00000001016.13	5	exon
ENSMUSG00000001017.17	30	exon
ENSMUSG00000001018.16	11	exon
ENSMUSG00000001025.9	1	exon
ENSMUSG00000001029.16	3	exon
ENSMUSG00000001034.18	1	exon
ENSMUSG00000001036.18	8	exon
ENSMUSG00000001052.16	9	exon
ENSMUSG00000001053.16	4	exon
ENSMUSG00000001054.10	5	exon
ENSMUSG00000001056.4	22	exon
ENSMUSG00000001062.19	2	exon
ENSMUSG00000001065.16	9	exon
ENSMUSG00000001082.13	1	exon
ENSMUSG00000001089.15	6	exon
ENSMUSG00000001095.6	5	exon
ENSMUSG00000001098.16	8	exon
ENSMUSG00000001100.11	44	exon
ENSMUSG00000001105.16	52	exon
ENSMUSG00000001119.8	2	exon
ENSMUSG00000001123.16	218	exon
ENSMUSG00000001127.13	25	exon
ENSMUSG00000001128.8	9	exon
ENSMUSG00000001134.10	9	exon
ENSMUSG00000001138.14	8	exon
ENSMUSG00000001143.14	8	exon
ENSMUSG00000001150.8	7	exon
ENSMUSG00000001151.11	6	exon
ENSMUSG00000001155.14	172	exon
ENSMUSG00000001156.10	6	exon
ENSMUSG00000001157.14	2	exon
ENSMUSG00000001158.14	24	exon
ENSMUSG00000001173.16	1	exon
ENSMUSG00000001175.17	271	exon
ENSMUSG00000001211.16	80	exon
ENSMUSG00000001227.13	5	exon
ENSMUSG00000001229.10	20	exon
ENSMUSG00000001240.14	7	exon
ENSMUSG00000001247.17	149	exon
ENSMUSG00000001248.16	2	exon
ENSMUSG00000001249.15	165	exon
ENSMUSG00000001270.10	3	exon
ENSMUSG00000001280.14	14	exon
ENSMUSG00000001285.13	15	exon
ENSMUSG00000001288.16	2	exon
ENSMUSG00000001289.13	64	exon
ENSMUSG00000001300.17	1	exon
ENSMUSG00000001305.6	6	exon
ENSMUSG00000001313.13	14	exon
ENSMUSG00000001323.18	37	exon
ENSMUSG00000001348.16	69	exon
ENSMUSG00000001366.15	23	exon
ENSMUSG00000001376.18	7	exon
ENSMUSG00000001380.8	20	exon
ENSMUSG00000001383.10	32	exon
ENSMUSG00000001415.11	6	exon
ENSMUSG00000001416.14	63	exon
ENSMUSG00000001418.14	28	exon
ENSMUSG00000001419.18	11	exon
ENSMUSG00000001420.14	3	exon
ENSMUSG00000001424.15	54	exon
ENSMUSG00000001435.16	289	exon
ENSMUSG00000001436.16	3	exon
ENSMUSG00000001440.6	41	exon
ENSMUSG00000001441.14	19	exon
ENSMUSG00000001445.11	24	exon
ENSMUSG00000001467.6	100	exon
ENSMUSG00000001472.18	50	exon
ENSMUSG00000001473.8	3	exon
ENSMUSG00000001482.16	20	exon
ENSMUSG00000001506.11	2	exon
ENSMUSG00000001507.17	3	exon
ENSMUSG00000001518.13	8	exon
ENSMUSG00000001524.15	14	exon
ENSMUSG00000001525.11	32	exon
ENSMUSG00000001542.8	27	exon
ENSMUSG00000001552.15	15	exon
ENSMUSG00000001555.11	1	exon
