chr	start	end	920ng	320ng	80ng	mean	location
M	1	10000	0.0108926718100558	0.00349517023909192	0.000912581161207554	0.00510014107011841	M:1-10000
M	10001	16298	0.0044828222255556	0.0026920887461203	0.00215360961388405	0.00310950686185331	M:10001-16298
1	24650001	24660000	0.00523383314025292	0.00237942032368461	0.00115805921531547	0.00292377089308433	1:24650001-24660000
6	3200001	3210000	0.00209519621359622	0.00266794071507545	0.00276820524655157	0.00251044739174108	6:3200001-3210000
17	40150001	40160000	0.00134854617671463	0.00118562960789279	0.00104445641460854	0.00119287739973865	17:40150001-40160000
17	6710001	6720000	0.000378602614477169	0.000659849656690592	0.000905619311343355	0.000648023860837039	17:6710001-6720000
17	6880001	6890000	0.000342835175633872	0.000599264152292185	0.000865551305169705	0.000602550211031921	17:6880001-6890000
11	108900001	108910000	0.000434039903748682	0.000487135361299981	0.000413332843809382	0.000444836036286015	11:108900001-108910000
3	5920001	5930000	0.000637899650710486	0.000390153046145113	0.000203105370501381	0.000410386022452327	3:5920001-5930000
5	142880001	142890000	0.000734980880479473	0.000233216167558719	0.000144758135412935	0.000370985061150376	5:142880001-142890000
12	36420001	36430000	0.000312477111022427	0.0003483128422128	0.000392678227904465	0.000351156060379897	12:36420001-36430000
4	103420001	103430000	0.00033414307287399	0.000291520209448398	0.000345726291154726	0.000323796524492371	4:103420001-103430000
8	83890001	83900000	0.000198990592683732	0.000297097117803063	0.000335370976783855	0.000277152895756883	8:83890001-83900000
6	49210001	49220000	0.000422791832986977	0.000249049094876224	0.000150441717520855	0.000274094215128019	6:49210001-49220000
18	68820001	68830000	0.000199130106980538	0.000286098288207802	0.000296940320642223	0.000260722905276854	18:68820001-68830000
16	57210001	57220000	0.000191874961580171	0.000243258781099878	0.000250131341024642	0.000228421694568231	16:57210001-57220000
6	37780001	37790000	0.000226157098144192	0.000215978450826118	0.000224522043404771	0.00022221919745836	6:37780001-37790000
11	67570001	67580000	0.000154351005394813	0.000205331625785393	0.000246409412415928	0.000202030681198711	11:67570001-67580000
15	86070001	86080000	0.000146922772114822	0.000211990453522707	0.000225774431262936	0.000194895885633488	15:86070001-86080000
2	20900001	20910000	0.00014141016035814	0.000204403312030509	0.000236146861855907	0.000193986778081519	2:20900001-20910000
9	123290001	123300000	0.000391275968931202	0.00015286104225136	3.53022080825111e-05	0.000193146406421691	9:123290001-123300000
1	78580001	78590000	0.000170641989296257	0.000184043414386317	0.00018298311189435	0.000179222838525641	1:78580001-78590000
13	45020001	45030000	0.000133289552283373	0.00019782100105863	0.00019708657325843	0.000176065708866811	13:45020001-45030000
7	27160001	27170000	0.000151529409859986	0.000175166232336677	0.000197692365262062	0.000174796002486242	7:27160001-27170000
5	146190001	146200000	0.000289810355456894	0.000139971949840948	5.43654004470672e-05	0.000161382568581636	5:146190001-146200000
2	80660001	80670000	0.000122742908435294	0.000164011804794012	0.00018921983532226	0.000158658182850522	2:80660001-80670000
6	99850001	99860000	0.000178986453305785	0.000140943683872443	0.000142620920653345	0.000154183685943858	6:99850001-99860000
1	85930001	85940000	0.000211763254251648	0.000134438091726706	9.15503929606458e-05	0.000145917246313	1:85930001-85940000
6	30760001	30770000	0.000102926615969276	0.000168828225645768	0.000159260028062902	0.000143671623225982	6:30760001-30770000
6	30770001	30780000	9.57396553886131e-05	0.000130550354666022	0.000167038281243748	0.000131109430432794	6:30770001-30780000
10	4970001	4980000	0.00010367904144523	0.000131395340780365	0.000157447848048	0.000130840743424532	10:4970001-4980000
10	72130001	72140000	0.000158149287580562	0.000147957068621491	7.03926029165272e-05	0.000125499653039527	10:72130001-72140000
10	20270001	20280000	9.78672032861378e-05	0.000127445030695811	0.000143121396674564	0.000122811210218837	10:20270001-20280000
19	16240001	16250000	9.15364510056984e-05	0.000112298654596209	0.000161331090937076	0.000121722065512994	19:16240001-16250000
18	33320001	33330000	0.000123763502104725	0.000106468250407241	0.000132736302390242	0.000120989351634069	18:33320001-33330000
16	17040001	17050000	0.000179076547454342	0.0001030685896072	7.98838537181394e-05	0.000120676330259894	16:17040001-17050000
X	63540001	63550000	0.000115121097820942	0.000120157025459601	0.000124969816612089	0.000120082646630877	X:63540001-63550000
11	33700001	33710000	8.2317350133767e-05	0.000115272119197011	0.000149815846872066	0.000115801772067615	11:33700001-33710000
